metric,value,description
phase215_interpretation_rows,24,Split/horizon/label interpretation rows
phase215_passing_interpretation_rows,14,Rows passing event-only interpretation screen
phase215_label_family_summary_rows,3,Label-family summary rows
phase215_label_families_with_interpretable_rows,3,Label families with at least one interpretable row
phase215_decision_rows,1,Decision ledger rows
phase215_phase216_work_order_rows,1,Phase216 work-order rows
phase215_forbidden_execution_rows,13,Forbidden execution rows
phase215_gate_rows,7,Gates evaluated
phase215_hard_gate_rows,7,Hard gates evaluated
phase215_hard_gate_pass_rows,7,Hard gates passed
phase215_event_surprise_label_quality_interpretation_complete,1,1 means Phase215 completed
phase215_model_fit_allowed_next,0,No model fit opened
phase215_strategy_replay_allowed,0,No strategy replay opened
phase215_test_replay_allowed_next,0,No test replay opened
phase215_promotion_allowed,0,No promotion opened
phase215_paper_or_live_acceptance_allowed,0,Paper/live remains closed
phase215_profitability_claim_allowed,0,No profitability claim is allowed
phase215_forbidden_outputs,model_fit;model_prediction;strategy_replay;test_replay_execution;test_result;promotion;paper_live_acceptance;order_arrival;fill_model;pnl_replay;profitability_claim;threshold_widening;row_level_prediction_export,Outputs forbidden in this phase
phase215_next_best_action,run_phase216_event_surprise_label_redesign_or_event_only_target_precommit_no_model_no_replay_no_test,Recommended next milestone
