phase290_variant_id,adaptive_family,primary_pressure_column,interaction_column,spread_state,market_bucket,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,10,4,1,1,0,0,0,0,14.278289796515045,14.278289796515045,28.55657959303009,113.31976028980193
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,10,4,1,1,0,0,0,0,14.278289796515045,14.278289796515045,28.55657959303009,113.31976028980193
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,8,4,1,1,0,0,0,0,10.579958632133405,10.579958632133405,21.15991726426681,83.96792565185241
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,8,4,1,1,0,0,0,0,10.579958632133405,10.579958632133405,21.15991726426681,83.96792565185241
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_ANYSPREAD_OPEN_INV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,INV,10,4,2,2,0,0,0,0,0.9520271986902388,4.99761324716412,8.091172096947762,64.21565156307747
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,10,4,2,2,0,0,0,0,0.9520271986902388,4.99761324716412,8.091172096947762,64.21565156307747
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_OPEN_INV_H5,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,5,4,1,1,0,0,0,0,4.017919448947819,4.017919448947819,8.035838897895639,31.88824959482396
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H5,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,5,4,1,1,0,0,0,0,4.017919448947819,4.017919448947819,8.035838897895639,31.88824959482396
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,10,4,5,2,0,0,0,0,2.870955588425746,5.733497052270584,5.741911176851492,113.92680906451372
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,10,4,5,2,0,0,0,0,2.870955588425746,5.733497052270584,5.741911176851492,113.92680906451372
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,ALL,ORIG,10,4,133,2,0,0,0,0,2.5818945029296563,5.157923144369816,5.1637890058593126,163.92980970981944
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,ALL,ORIG,10,4,98,2,0,0,0,0,2.5767859760253753,5.147163836006422,5.153571952050751,163.6054587952619
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_ANYSPREAD_OPEN_INV_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,INV,8,4,2,2,0,0,0,0,-0.4931171372393244,2.398431089413689,5.04342074744704,40.02714878926222
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,8,4,2,2,0,0,0,0,-0.4931171372393244,2.398431089413689,5.04342074744704,40.02714878926222
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,8,4,5,2,0,0,0,0,2.1323626049428315,4.255237835911342,4.264725209885663,84.61756368820761
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,8,4,5,2,0,0,0,0,2.1323626049428315,4.255237835911342,4.264725209885663,84.61756368820761
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,ALL,ORIG,8,4,133,2,0,0,0,0,2.0313998665525648,4.057048566045416,4.0627997331051295,128.97776930492472
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S55_I55_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,ALL,ORIG,8,4,98,2,0,0,0,0,2.0262913396482847,4.046289257682023,4.052582679296569,128.65341839036728
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,ANYSPREAD,ALL,ORIG,10,4,109,2,0,0,0,0,1.8802907868109575,1.9501974215928155,4.0402081127493465,128.26057500791578
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,10,4,109,2,0,0,0,0,1.8802907868109575,1.9501974215928155,4.0402081127493465,128.26057500791578
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P45_S45_I55_NOTWIDE_ALL_ORIG_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,NOTWIDE,ALL,ORIG,10,4,109,2,0,0,0,0,1.8802907868109575,1.9501974215928155,4.0402081127493465,128.26057500791578
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P45_S45_I55_NOTWIDE_ALL_PRESSURE_SIGN_CONT_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,NOTWIDE,ALL,PRESSURE_SIGN_CONT,10,4,109,2,0,0,0,0,1.8802907868109575,1.9501974215928155,4.0402081127493465,128.26057500791578
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P65_S55_I55_ANYSPREAD_ALL_ORIG_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,ANYSPREAD,ALL,ORIG,10,4,26,2,0,0,0,0,1.995918191473573,3.918672290337213,3.991836382947146,126.72496453800463
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P65_S55_I55_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,10,4,26,2,0,0,0,0,1.995918191473573,3.918672290337213,3.991836382947146,126.72496453800463
P290_P290_REPLENISHMENT_ABSORPTION_ADAPTIVE_P65_S55_I55_NOTWIDE_ALL_ORIG_H10,replenishment_absorption_adaptive,replenishment_dominance,spread_compression_score,NOTWIDE,ALL,ORIG,10,4,26,2,0,0,0,0,1.995918191473573,3.918672290337213,3.991836382947146,126.72496453800463
