scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase290_variant_id,adaptive_family_id,adaptive_family,primary_pressure_column,secondary_pressure_column,interaction_column,spread_state,market_bucket,side_mode,exit_horizon_ticks,selected_event_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT50000_CONC1_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,100000.0,50000.0,1,cost200,2.0,0.0,285,2,283,32,251,0,1,1,1,1,8,16.95177674283957,0.01695177674283957,0.5339809673994464,1,0,100000.0,1.0,0.4964912280701754,-16.528979043538293,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,5,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT50000_CONC2_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,100000.0,50000.0,2,cost200,2.0,0.0,285,3,282,63,219,0,1,1,1,1,8,50.256416277291144,0.05025641627729114,1.583077112734671,1,0,150000.0,1.5,0.9350877192982456,-16.528979043538293,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,5,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,100000.0,100000.0,1,cost200,2.0,0.0,285,2,283,32,251,0,1,1,1,1,8,33.90355348567914,0.03390355348567914,1.067961934798893,1,0,200000.0,2.0,0.9929824561403509,-33.057958087076585,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,5,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5_CAP100000_NOT100000_CONC2_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,100000.0,100000.0,2,cost200,2.0,0.0,285,3,282,63,219,0,1,1,1,1,8,50.256416277291144,0.05025641627729114,1.583077112734671,1,0,150000.0,1.5,0.9350877192982456,-16.528979043538293,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,5,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT50000_CONC1_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,100000.0,50000.0,1,cost200,2.0,0.0,285,1,284,33,251,0,1,1,1,1,8,1.2629159991606187,0.0012629159991606187,0.03978185397355949,1,0,50000.0,0.5,0.4982456140350877,0.0,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,8,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT50000_CONC2_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,100000.0,50000.0,2,cost200,2.0,0.0,285,2,283,64,219,0,1,1,1,1,8,65.56922391956863,0.06556922391956863,2.065430553466412,1,0,100000.0,1.0,0.9368421052631579,0.0,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,8,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,100000.0,100000.0,1,cost200,2.0,0.0,285,1,284,33,251,0,1,1,1,1,8,2.5258319983212374,0.0025258319983212374,0.07956370794711898,1,0,100000.0,1.0,0.9964912280701754,0.0,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,8,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8_CAP100000_NOT100000_CONC2_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,100000.0,100000.0,2,cost200,2.0,0.0,285,2,283,64,219,0,1,1,1,1,8,65.56922391956863,0.06556922391956863,2.065430553466412,1,0,100000.0,1.0,0.9368421052631579,0.0,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,8,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10_CAP100000_NOT50000_CONC1_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,100000.0,50000.0,1,cost200,2.0,0.0,285,1,284,33,251,0,1,1,1,1,8,11.290335536432785,0.011290335536432786,0.35564556939763275,1,0,50000.0,0.5,0.4982456140350877,0.0,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,10,285,1,1,0,0,0,0,0,0
P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10_CAP100000_NOT50000_CONC2_COST200,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,100000.0,50000.0,2,cost200,2.0,0.0,285,2,283,64,219,0,1,1,1,1,8,93.06902256627916,0.09306902256627916,2.9316742108377936,1,0,100000.0,1.0,0.9368421052631579,0.0,1,0,0,0,0,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I55_ANYSPREAD_ALL_ORIG_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,ANYSPREAD,ALL,ORIG,10,285,1,1,0,0,0,0,0,0
