phase290_variant_id,adaptive_family_id,adaptive_family,selection_rule,primary_pressure_column,secondary_pressure_column,interaction_column,primary_threshold_quantile,secondary_threshold_quantile,interaction_threshold_quantile,spread_state,market_bucket,side_mode,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator,strategy_replay_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_ORIG_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,ORIG,3,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_ORIG_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,ORIG,5,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_ORIG_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,ORIG,8,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_ORIG_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,ORIG,10,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_ORIG_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,ORIG,13,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_INV_H3,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,INV,3,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_INV_H5,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,INV,5,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_INV_H8,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,INV,8,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_INV_H10,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,INV,10,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I40_ANYSPREAD_ALL_INV_H13,P290_EXHAUSTION_REVERSAL_ADAPTIVE,exhaustion_reversal_adaptive,withdrawal/churn interaction with adaptive reversal and continuation sides,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.45,0.45,0.4,ANYSPREAD,ALL,INV,13,380,2,8,1,1,0,0,fixed_initial_capital,0,0,0
