metric,value,description
phase290_adaptive_liquidity_pressure_search_complete,1,Phase290 adaptive full-depth liquidity-pressure expansion search completed
phase290_selected_route,P290_ADAPTIVE_FULL_DEPTH_LIQUIDITY_PRESSURE_EXPANSION_SEARCH,Selected route
phase290_variant_rows,6150,Adaptive variants evaluated
phase290_scenario_rows,73800,Cost200 fixed-capital scenarios evaluated
phase290_sparse_above12_scenario_rows,0,Above-12 sparse diagnostic rows with event floor met
phase290_robust_portfolio_floor_scenario_rows,24,Scenarios meeting robust portfolio event floor
phase290_robust_portfolio_above12_scenario_rows,0,Robust floor scenarios above 12 percent
phase290_best_variant_id,P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13,Best Phase290 variant
phase290_best_adaptive_family,exhaustion_reversal_adaptive,Best adaptive family
phase290_best_primary_pressure_column,depth_withdrawal_pressure,Best primary pressure feature
phase290_best_interaction_column,churn_withdraw_interaction,Best interaction feature
phase290_best_side_mode,PRESSURE_SIGN_REV,Best side mode
phase290_best_market_bucket,OPEN,Best market bucket
phase290_best_cost200_annualized_pct,38.38492871577907,Best cost200 fixed-capital annualized diagnostic
phase290_best_realized_net_pnl_inr,152.321145697536,Best realized net P&L
phase290_best_scheduled_event_rows,1,Best scheduled event rows
phase290_l1_only_variant_rows,0,L1-only variants
phase290_net_edge_live_mask_rows,0,Live masks using net/gross edge
phase290_strategy_replay_allowed,0,No strategy replay unlocked
phase290_strategy_promotion_allowed,0,No strategy promotion unlocked
phase290_paper_or_live_acceptance_allowed,0,No paper/live acceptance
phase290_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase290_hard_gate_pass_rows,8,Hard gates passed
phase290_hard_gate_rows,8,Hard gates evaluated
phase290_next_best_action,run_phase291_adaptive_full_depth_liquidity_pressure_interpretation_no_paper_live,Recommended next milestone
