symbol,rows,first_receive_utc,last_receive_utc,book_valid_fraction,median_elapsed_ms,p95_elapsed_ms,stale_gap_gt_15s_count,volume_increment_rows,volume_reversal_rows,inferred_withdrawal_rows,inferred_replenishment_rows,median_spread,median_spread_ticks
ADANIPORTS,13886,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:40.961482+00:00,0.9999279850208843,1000.0,5500.0,2,5759,0,6994,6809,0.40000000000009095,4.0000000000045475
AXISBANK,18309,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060758+00:00,0.9999453820525425,749.0,4913.649999999998,2,8969,0,9585,9441,0.20000000000004547,2.0000000000022737
BAJAJ-AUTO,25141,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.461376+00:00,0.999960224334752,741.0,4410.049999999999,2,10035,0,16263,16323,3.0,6.0
BANKBEES,18916,2026-07-13T03:45:11.961758+00:00,2026-07-13T10:01:25.837820+00:00,0.9999471347007824,1000.0,4833.0,2,2883,0,12558,12300,0.21000000000003638,21.000000000022737
BHARTIARTL,19560,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:40.961482+00:00,0.9999488752556237,749.0,4762.399999999994,2,9053,0,10405,10332,0.2999999999999545,3.0000000000022737
BPCL,10684,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.999906402096593,1602.0,6081.699999999999,2,4379,0,4630,4569,0.05000000000001137,1.0000000000011369
BRITANNIA,8526,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:10.211499+00:00,0.9998827117053718,2000.0,7000.799999999999,2,3458,0,4408,4344,2.0,4.0
CIPLA,11664,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:40.961482+00:00,0.9999142661179699,1194.0,5953.9,2,4855,0,5736,5688,0.40000000000009095,4.0000000000045475
DRREDDY,12257,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.211732+00:00,0.9999184139675288,1250.0,5750.0,2,5148,0,5407,5383,0.3000000000001819,3.0000000000045475
GOLDBEES,12982,2026-07-13T03:45:10.711888+00:00,2026-07-13T10:01:22.210907+00:00,0.9998459405330458,1000.0,5680.0,2,5606,0,5868,5692,0.010000000000005116,1.000000000001421
HCLTECH,29266,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.211732+00:00,0.9999658306567347,500.0,4158.799999999999,2,16703,0,17231,17035,0.3000000000001819,3.0000000000045475
HDFCBANK,35959,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060758+00:00,0.999972190550349,500.0,1250.0,2,21059,0,21259,20895,0.10000000000002274,2.0000000000022737
HINDUNILVR,12173,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060758+00:00,0.9999178509816807,1001.0,5859.449999999999,2,5258,0,5986,5848,0.40000000000009095,4.0000000000045475
ICICIBANK,26474,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.9999622270907306,500.0,4201.399999999998,2,13980,0,14921,14808,0.20000000000004547,2.0000000000022737
INFY,34511,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.211732+00:00,0.9999710237315639,500.0,2627.0999999999913,2,20383,0,20738,20685,0.20000000000004547,2.0000000000022737
ITBEES,11481,2026-07-13T03:45:10.462048+00:00,2026-07-13T10:01:22.210907+00:00,0.9998257991464158,1250.0,5993.0,2,4811,0,5586,5565,0.010000000000001563,1.0000000000003553
ITC,12379,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.211732+00:00,0.9999192180305356,1250.0,5750.0,2,5367,0,5342,5312,0.05000000000001137,1.0000000000011369
JUNIORBEES,17442,2026-07-13T03:45:10.462048+00:00,2026-07-13T10:01:22.210907+00:00,0.9998853342506593,999.0,5021.0,2,4088,0,12092,11884,0.2799999999999727,28.000000000022737
KOTAKBANK,14091,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.9999290327159179,1000.0,5475.549999999999,2,6286,0,6701,6682,0.0999999999999659,2.000000000001137
LT,19466,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.211732+00:00,0.9999486283776842,749.0,4750.0,2,9500,0,10566,10197,0.5,5.0000000000045475
M&M,25699,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:40.961482+00:00,0.9999610879800771,501.0,4285.449999999993,2,11596,0,15609,15584,0.3999999999996362,4.0
MARUTI,27645,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.999963827093507,502.0,4139.699999999997,2,11206,0,17721,17574,4.0,4.0
NESTLEIND,12918,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:10.211499+00:00,0.9999225886360118,1000.0,5800.199999999999,2,4932,0,7105,7038,0.3999999999998636,4.000000000002274
NIFTYBEES,22414,2026-07-13T03:45:10.711888+00:00,2026-07-13T10:01:22.210907+00:00,0.9999107700544303,749.0,4542.0,2,9376,0,13988,13077,0.040000000000020464,4.000000000005684
ONGC,17305,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.211732+00:00,0.9999422132331696,750.0,5000.0,2,7991,0,8821,8435,0.04999999999998295,5.000000000002842
RELIANCE,26056,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:08.460948+00:00,0.9999616211237335,500.0,4324.0,2,14297,0,14625,14477,0.20000000000004547,2.0000000000022737
SBIN,24728,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.9999595600129408,500.0,4329.0,2,13317,0,13857,13776,0.20000000000004547,2.0000000000022737
SUNPHARMA,14610,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.9999315537303217,982.0,5483.999999999993,2,6297,0,7574,7529,0.3999999999998636,4.000000000002274
TCS,36467,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:08.460948+00:00,0.9999725779471851,500.0,1250.0,2,21495,0,21760,21611,0.40000000000009095,4.0000000000045475
TECHM,19124,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060758+00:00,0.9999477096841665,749.0,4856.699999999993,2,8704,0,10849,10715,0.5,5.0000000000045475
ULTRACEMCO,8386,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:10.211499+00:00,0.9998807536370141,2245.0,6772.5999999999985,2,3605,0,4106,4058,3.0,3.0
WIPRO,20334,2026-07-13T03:41:33.966463+00:00,2026-07-13T10:01:09.060459+00:00,0.999950821284548,524.0,4730.799999999996,2,10485,0,11247,11105,0.03999999999999204,4.000000000002842
