trade_month,compact_rows,compact_days,compact_regime_codes,compact_regime_entropy_bits,compact_feed_profiles,compact_feed_entropy_bits,compact_market_shock_rows,compact_symbol_shock_rows
2026-01,263102,22,11,3.299510609572835,5,2.321911698022172,23869,8202
2026-02,238970,20,12,3.4216251480120623,5,2.3219069144377644,35785,14548
2026-03,262973,22,12,3.2649802550704656,5,2.321907790515732,23833,8572
2026-04,262883,22,11,3.1134087260134287,5,2.321907466451698,35777,10425
2026-05,251038,21,12,3.4043928861497954,5,2.3219113082517953,35821,6334
2026-06,262929,22,13,3.5157593350700034,5,2.321909814444666,59629,18253
2026-07,275062,23,12,3.414214382864618,5,2.3219131247716525,11950,9702
2026-08,251003,21,13,3.594439726189325,5,2.321909809381927,35835,21238
2026-09,262989,22,11,3.3909691211513713,5,2.321910513848343,59681,24988
2026-10,263098,22,11,3.243042305470492,5,2.321912006686421,0,2611
2026-11,250973,21,14,3.689269901308361,5,2.3219087462881527,35785,14547
2026-12,167274,14,7,2.5486867794417183,5,2.3219023637189027,23833,7826
