trade_month,trade_date,regime_code,feed_profile,row_count,market_shock_rows,symbol_shock_rows
2026-01,2026-01-01,D04,disconnect_scenario,2385,0,0
2026-01,2026-01-01,D04,good_retail,2400,0,0
2026-01,2026-01-01,D04,ideal_research,2400,0,0
2026-01,2026-01-01,D04,normal_retail,2400,0,0
2026-01,2026-01-01,D04,stressed_retail,2395,0,0
2026-01,2026-01-02,D12,disconnect_scenario,2359,2359,293
2026-01,2026-01-02,D12,good_retail,2402,2402,300
2026-01,2026-01-02,D12,ideal_research,2400,2400,300
2026-01,2026-01-02,D12,normal_retail,2394,2394,299
2026-01,2026-01-02,D12,stressed_retail,2372,2372,293
2026-01,2026-01-05,D02,disconnect_scenario,2366,0,0
2026-01,2026-01-05,D02,good_retail,2399,0,0
2026-01,2026-01-05,D02,ideal_research,2400,0,0
2026-01,2026-01-05,D02,normal_retail,2400,0,0
2026-01,2026-01-05,D02,stressed_retail,2384,0,0
2026-01,2026-01-06,D01,disconnect_scenario,2375,0,0
2026-01,2026-01-06,D01,good_retail,2400,0,0
2026-01,2026-01-06,D01,ideal_research,2400,0,0
2026-01,2026-01-06,D01,normal_retail,2402,0,0
2026-01,2026-01-06,D01,stressed_retail,2394,0,0
2026-01,2026-01-07,D07,disconnect_scenario,2359,2359,954
2026-01,2026-01-07,D07,good_retail,2401,2401,976
2026-01,2026-01-07,D07,ideal_research,2400,2400,975
2026-01,2026-01-07,D07,normal_retail,2395,2395,976
2026-01,2026-01-07,D07,stressed_retail,2387,2387,972
2026-01,2026-01-08,D10,disconnect_scenario,2366,0,0
2026-01,2026-01-08,D10,good_retail,2398,0,0
2026-01,2026-01-08,D10,ideal_research,2400,0,0
2026-01,2026-01-08,D10,normal_retail,2397,0,0
2026-01,2026-01-08,D10,stressed_retail,2391,0,0
2026-01,2026-01-09,D15,disconnect_scenario,2366,0,0
2026-01,2026-01-09,D15,good_retail,2401,0,0
2026-01,2026-01-09,D15,ideal_research,2400,0,0
2026-01,2026-01-09,D15,normal_retail,2394,0,0
2026-01,2026-01-09,D15,stressed_retail,2394,0,0
2026-01,2026-01-12,D01,disconnect_scenario,2380,0,0
2026-01,2026-01-12,D01,good_retail,2401,0,0
2026-01,2026-01-12,D01,ideal_research,2400,0,0
2026-01,2026-01-12,D01,normal_retail,2403,0,0
2026-01,2026-01-12,D01,stressed_retail,2385,0,0
2026-01,2026-01-13,D03,disconnect_scenario,2380,0,0
2026-01,2026-01-13,D03,good_retail,2397,0,0
2026-01,2026-01-13,D03,ideal_research,2400,0,0
2026-01,2026-01-13,D03,normal_retail,2397,0,0
