metric,value,description
phase110_gate_rows,5,Replay unlock gates evaluated
phase110_gate_pass_rows,2,Replay unlock gates passing
phase110_one_day_realism_gate_pass,1,1 means Phase109 one-day full-symbol realism passed
phase110_ready_real_anchor_days,1,Ready real anchor days currently available
phase110_required_ready_real_days_min,5,Minimum ready real days required
phase110_target_ready_real_days,10,Preferred ready real days target
phase110_days_needed_for_min,4,Additional ready days required for minimum multiday unlock
phase110_replay_unlock_allowed,0,1 means strategy replay may reopen
phase110_strategy_replay_allowed,0,Compatibility alias for replay unlock decision
phase110_recommend_next_action,collect_4_more_ready_real_websocket_l2_days_then_rerun_phase96_and_multiday_realism,Recommended next milestone
