canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,no_lookahead_rule_applied,resolved_real_root
P373_2026-07-08_CIPLA_106690396,existing_phase341,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-08_LT_106690276,existing_phase341,LT,08-Jul-2026 12:29:03,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,1,real_data_sample\l2_multiday_panel
P373_2026-07-09_BHARTIARTL_106691845,existing_phase341,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,1,real_data_sample\l2_multiday_panel
P373_2026-07-09_DRREDDY_106691390,existing_phase341,DRREDDY,09-Jul-2026 09:18:50,regular_session,2026-07-09,first_real_tick_after_announcement,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-09_DRREDDY_106691463,existing_phase341,DRREDDY,09-Jul-2026 09:38:43,regular_session,2026-07-09,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-09_RELIANCE_106691045,existing_phase341,RELIANCE,08-Jul-2026 19:08:15,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,Other Restructuring,1,real_data_sample\l2_multiday_panel
P373_2026-07-09_SBIN_106691111,existing_phase341,SBIN,08-Jul-2026 20:27:40,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-09_SBIN_106691289,existing_phase341,SBIN,08-Jul-2026 23:59:50,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_ADANIPORTS_106692702,existing_phase341,ADANIPORTS,09-Jul-2026 21:51:40,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_BAJAJ-AUTO_106693161,existing_phase341,BAJAJ-AUTO,10-Jul-2026 11:05:02,regular_session,2026-07-10,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_BHARTIARTL_106693009,existing_phase341,BHARTIARTL,10-Jul-2026 10:02:55,regular_session,2026-07-10,first_real_tick_after_announcement,Record Date,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_DRREDDY_106692956,existing_phase341,DRREDDY,10-Jul-2026 08:51:29,pre_open_or_overnight,2026-07-10,market_open_same_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_HCLTECH_106692256,existing_phase341,HCLTECH,09-Jul-2026 17:02:22,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_HDFCBANK_106692277,existing_phase341,HDFCBANK,09-Jul-2026 17:09:34,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_ICICIBANK_106693061,existing_phase341,ICICIBANK,10-Jul-2026 10:32:30,regular_session,2026-07-10,first_real_tick_after_announcement,ESOP/ESOS/ESPS,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_KOTAKBANK_106692598,existing_phase341,KOTAKBANK,09-Jul-2026 19:37:41,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_KOTAKBANK_106692658,existing_phase341,KOTAKBANK,09-Jul-2026 20:20:33,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_M&M_106692090,existing_phase341,M&M,09-Jul-2026 16:05:27,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_M&M_106693381,existing_phase341,M&M,10-Jul-2026 13:21:18,regular_session,2026-07-10,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_ONGC_106692689,existing_phase341,ONGC,09-Jul-2026 21:22:07,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_SBIN_106692841,existing_phase341,SBIN,09-Jul-2026 23:03:55,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_TCS_106692052,existing_phase341,TCS,09-Jul-2026 15:52:21,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_TCS_106692059,existing_phase341,TCS,09-Jul-2026 15:54:18,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Dividend,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_TCS_106692063,existing_phase341,TCS,09-Jul-2026 15:56:06,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_TCS_106692067,existing_phase341,TCS,09-Jul-2026 15:57:25,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-10_TCS_106692731,existing_phase341,TCS,09-Jul-2026 22:27:13,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_DRREDDY_106695517,existing_phase341,DRREDDY,13-Jul-2026 14:35:09,regular_session,2026-07-13,first_real_tick_after_announcement,Press Release,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_HDFCBANK_106694495,existing_phase341,HDFCBANK,10-Jul-2026 23:50:18,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,Shareholders meeting,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_INFY_106695528,existing_phase341,INFY,13-Jul-2026 14:47:47,regular_session,2026-07-13,first_real_tick_after_announcement,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_KOTAKBANK_106693798,existing_phase341,KOTAKBANK,10-Jul-2026 17:20:48,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,Shareholders meeting,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_KOTAKBANK_106693806,existing_phase341,KOTAKBANK,10-Jul-2026 17:24:32,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_KOTAKBANK_106693819,existing_phase341,KOTAKBANK,10-Jul-2026 17:30:05,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_MARUTI_106693600,existing_phase341,MARUTI,10-Jul-2026 15:53:31,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_RELIANCE_106693860,existing_phase341,RELIANCE,10-Jul-2026 17:46:25,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,1,real_data_sample\l2_multiday_panel
P373_2026-07-13_SBIN_106694291,existing_phase341,SBIN,10-Jul-2026 22:26:10,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,General Updates,1,real_data_sample\l2_multiday_panel
