candidate_id,trade_date,exchange,symbol,source_event_bar_id,horizon_event_bars,threshold_quantile,side,event_window_score,avg_microprice_dev,avg_top5_market_by_price_imbalance,close_mid_price,future_return_h2,gross_pnl_inr,cost_pnl_drag_inr,net_pnl_inr,future_return_h3,future_return_h4,future_return_h5
P233_MICROPRICE_REVERSAL_H2_Q0_875,2026-07-10,NSE,TECHM,0,2,0.875,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,-0.002407106048277652,240.7106048277652,162.69204892866642,78.01855589909874,,,
P233_MICROPRICE_REVERSAL_H2_Q0_875,2026-07-16,NSE,HCLTECH,0,2,0.875,1.0,79.00058481987267,-8.755890028503302e-05,-0.08292010457400681,1197.2,-0.0027981957901771493,-279.81957901771494,126.11588092214826,-405.93545993986316,,,
P233_MICROPRICE_REVERSAL_H2_Q0_9,2026-07-10,NSE,TECHM,0,2,0.9,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,-0.002407106048277652,240.7106048277652,162.69204892866642,78.01855589909874,,,
P233_MICROPRICE_REVERSAL_H3_Q0_875,2026-07-10,NSE,TECHM,0,3,0.875,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,,800.1084892866772,162.69204892866642,637.4164403580107,-0.008001084892866772,,
P233_MICROPRICE_REVERSAL_H3_Q0_875,2026-07-16,NSE,HCLTECH,0,3,0.875,1.0,79.00058481987267,-8.755890028503302e-05,-0.08292010457400681,1197.2,,29.23488138990571,126.11588092214826,-96.88099953224256,0.0002923488138990571,,
P233_MICROPRICE_REVERSAL_H3_Q0_9,2026-07-10,NSE,TECHM,0,3,0.9,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,,800.1084892866772,162.69204892866642,637.4164403580107,-0.008001084892866772,,
P233_MICROPRICE_REVERSAL_H4_Q0_875,2026-07-10,NSE,TECHM,0,4,0.875,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,,1386.6286954163254,162.69204892866642,1223.9366464876591,,-0.013866286954163254,
P233_MICROPRICE_REVERSAL_H4_Q0_875,2026-07-16,NSE,HCLTECH,0,4,0.875,1.0,79.00058481987267,-8.755890028503302e-05,-0.08292010457400681,1197.2,,-150.3508185766722,126.11588092214826,-276.46669949882045,,-0.001503508185766722,
P233_MICROPRICE_REVERSAL_H4_Q0_9,2026-07-10,NSE,TECHM,0,4,0.9,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,,1386.6286954163254,162.69204892866642,1223.9366464876591,,-0.013866286954163254,
P233_MICROPRICE_REVERSAL_H5_Q0_875,2026-07-10,NSE,TECHM,0,5,0.875,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,,1610.3878491998903,162.69204892866642,1447.6958002712238,,,-0.016103878491998902
P233_MICROPRICE_REVERSAL_H5_Q0_875,2026-07-16,NSE,HCLTECH,0,5,0.875,1.0,79.00058481987267,-8.755890028503302e-05,-0.08292010457400681,1197.2,,-29.23488138991681,126.11588092214826,-155.3507623120651,,,-0.0002923488138991681
P233_MICROPRICE_REVERSAL_H5_Q0_9,2026-07-10,NSE,TECHM,0,5,0.9,-1.0,54.99977079993844,0.00017150672143100275,-0.009190685317148981,1474.8,,1610.3878491998903,162.69204892866642,1447.6958002712238,,,-0.016103878491998902
