candidate_id,parent_candidate_id,horizon_event_bars,threshold_quantile,event_window_score_threshold,abs_microprice_dev_threshold,real_anchor_trades,real_anchor_net_pnl_inr,real_anchor_gross_pnl_inr,real_anchor_cost_pnl_drag_inr,real_anchor_dates,real_anchor_symbols,real_anchor_positive_dates,real_anchor_min_date_net_pnl_inr,real_anchor_precision_cost_clear,real_anchor_breadth_pass,real_anchor_positive
P233_MICROPRICE_REVERSAL_H5_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,5,0.9,54.31623670900108,0.0001025695276944,1,1447.6958002712238,1610.3878491998903,162.69204892866642,1,1,1,1447.6958002712238,1.0,False,True
P233_MICROPRICE_REVERSAL_H5_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,5,0.875,48.49752077504229,8.710084483056208e-05,2,1292.3450379591586,1581.1529678099735,288.8079298508147,2,2,1,-155.3507623120651,0.5,False,True
P233_MICROPRICE_REVERSAL_H4_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,4,0.9,54.31623670900108,0.0001025695276944,1,1223.9366464876591,1386.6286954163254,162.69204892866642,1,1,1,1223.9366464876591,1.0,False,True
P233_MICROPRICE_REVERSAL_H4_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,4,0.875,48.49752077504229,8.710084483056208e-05,2,947.4699469888387,1236.2778768396531,288.8079298508147,2,2,1,-276.46669949882045,0.5,False,True
P233_MICROPRICE_REVERSAL_H3_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,3,0.9,54.31623670900108,0.0001025695276944,1,637.4164403580107,800.1084892866772,162.69204892866642,1,1,1,637.4164403580107,1.0,False,True
P233_MICROPRICE_REVERSAL_H3_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,3,0.875,48.49752077504229,8.710084483056208e-05,2,540.5354408257682,829.3433706765829,288.8079298508147,2,2,1,-96.88099953224256,0.5,False,True
P233_MICROPRICE_REVERSAL_H2_Q0_9,P231_MICROPRICE_REVERSAL_H3_Q0_9,2,0.9,54.31623670900108,0.0001025695276944,1,78.01855589909874,240.7106048277652,162.69204892866642,1,1,1,78.01855589909874,1.0,False,True
P233_MICROPRICE_REVERSAL_H2_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,2,0.925,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,False
P233_MICROPRICE_REVERSAL_H3_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,3,0.925,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,False
P233_MICROPRICE_REVERSAL_H4_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,4,0.925,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,False
P233_MICROPRICE_REVERSAL_H5_Q0_925,P231_MICROPRICE_REVERSAL_H3_Q0_9,5,0.925,,,0,0.0,0.0,0.0,0,0,0,0.0,0.0,False,False
P233_MICROPRICE_REVERSAL_H2_Q0_875,P231_MICROPRICE_REVERSAL_H3_Q0_9,2,0.875,48.49752077504229,8.710084483056208e-05,2,-327.9169040407644,-39.10897418994975,288.8079298508147,2,2,1,-405.93545993986316,0.5,False,False
