event_id,event_time_ist,event_type,symbol,relative_second,exchange_timestamp_ms,last_price,volume_traded,buy_1_price,buy_1_quantity,buy_1_orders,sell_1_price,sell_1_quantity,sell_1_orders,buy_2_price,buy_2_quantity,buy_2_orders,sell_2_price,sell_2_quantity,sell_2_orders,buy_3_price,buy_3_quantity,buy_3_orders,sell_3_price,sell_3_quantity,sell_3_orders,buy_4_price,buy_4_quantity,buy_4_orders,sell_4_price,sell_4_quantity,sell_4_orders,buy_5_price,buy_5_quantity,buy_5_orders,sell_5_price,sell_5_quantity,sell_5_orders
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1860.9142,1874662,1860.7,457,3,1861.1,295,2,1860.6,617,4,1861.2,398,2,1860.5,777,4,1861.3,502,3,1860.4,936,5,1861.4,606,4,1860.3,1095,6,1861.5,710,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1859.7062,1884957,1859.5,463,3,1859.9,305,2,1859.4,625,4,1860.0,411,3,1859.3,788,4,1860.1,517,3,1859.2,951,5,1860.2,623,4,1859.1,1115,6,1860.3,728,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1862.11,1905765,1861.9,464,3,1862.3,306,2,1861.8,628,4,1862.4,412,3,1861.7,792,4,1862.5,517,3,1861.6,957,5,1862.6,622,4,1861.5,1122,6,1862.7,726,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1860.7084,1481489,1860.5,464,3,1860.9,306,2,1860.4,627,4,1861.0,412,3,1860.3,790,4,1861.1,519,3,1860.2,954,5,1861.2,625,4,1860.1,1117,6,1861.3,731,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1860.71,1899813,1860.5,464,3,1860.9,306,2,1860.4,627,4,1861.0,412,3,1860.3,790,4,1861.1,519,3,1860.2,954,5,1861.2,625,4,1860.1,1117,6,1861.3,731,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1862.0003,1477037,1861.8,480,3,1862.2,306,2,1861.7,648,4,1862.3,413,3,1861.6,815,5,1862.4,521,3,1861.5,983,5,1862.5,629,4,1861.4,1150,6,1862.6,737,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1862.01,1893861,1861.8,480,3,1862.2,306,2,1861.7,648,4,1862.3,413,3,1861.6,815,5,1862.4,521,3,1861.5,983,5,1862.5,629,4,1861.4,1150,6,1862.6,737,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1859.5019,1889409,1859.3,468,3,1859.7,308,2,1859.2,632,4,1859.8,416,3,1859.1,796,4,1859.9,523,3,1859.0,961,5,1860.0,630,4,1858.9,1125,6,1860.1,737,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1861.3142,1880505,1861.1,467,3,1861.5,307,2,1861.0,631,4,1861.6,414,3,1860.9,796,4,1861.7,520,3,1860.8,961,5,1861.8,625,4,1860.7,1127,6,1861.9,730,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1862.1084,1487441,1861.9,464,3,1862.3,306,2,1861.8,628,4,1862.4,412,3,1861.7,792,4,1862.5,517,3,1861.6,957,5,1862.6,622,4,1861.5,1122,6,1862.7,726,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1861.0142,1870585,1860.8,484,3,1861.2,308,2,1860.7,653,4,1861.3,416,3,1860.6,822,5,1861.4,524,3,1860.5,991,5,1861.5,632,4,1860.4,1160,6,1861.6,741,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1860.7043,621183,1860.5,464,3,1860.9,306,2,1860.4,627,4,1861.0,412,3,1860.3,790,4,1861.1,519,3,1860.2,954,5,1861.2,625,4,1860.1,1117,6,1861.3,731,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1854.6132,631437,1854.4,513,3,1854.8,347,2,1854.3,694,4,1854.9,467,3,1854.2,874,5,1855.0,588,3,1854.1,1054,6,1855.1,709,4,1854.0,1235,7,1855.2,829,5
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1861.3078,1466633,1861.1,467,3,1861.5,307,2,1861.0,631,4,1861.6,414,3,1860.9,796,4,1861.7,520,3,1860.8,961,5,1861.8,625,4,1860.7,1127,6,1861.9,730,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1861.3062,174749,1861.1,467,3,1861.5,307,2,1861.0,631,4,1861.6,414,3,1860.9,796,4,1861.7,520,3,1860.8,961,5,1861.8,625,4,1860.7,1127,6,1861.9,730,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1859.5062,180701,1859.3,468,3,1859.7,308,2,1859.2,632,4,1859.8,416,3,1859.1,796,4,1859.9,523,3,1859.0,961,5,1860.0,630,4,1858.9,1125,6,1860.1,737,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1859.7126,1461581,1859.5,463,3,1859.9,305,2,1859.4,625,4,1860.0,411,3,1859.3,788,4,1860.1,517,3,1859.2,951,5,1860.2,623,4,1859.1,1115,6,1860.3,728,4
P325_SYNTH_EVENT_001_20260714,2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ADANIPORTS,-900,1784030849,1811.5062,168797,1811.3,481,3,1811.7,313,2,1811.2,649,4,1811.8,423,3,1811.1,816,5,1811.9,534,3,1811.0,983,5,1812.0,644,4,1810.9,1150,6,1812.1,755,4
