scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase280_variant_id,target_family_id,target_family,target_rule,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_offline_label,uses_net_edge_as_live_mask,selected_event_rows,offline_positive_label_rows,offline_positive_label_fraction,cost200_above12_diagnostic
P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT50000_CONC1_COST200,P280_SPREAD_COST_MARGIN_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,204,2,202,17,185,0,2,2,3,2,8,-104.38548951924936,-0.10438548951924936,-3.2881429198563548,1,0,100000.0,1.0,0.4950980392156863,-109.27526821541379,1,0,0,0,0,P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,1,1,0,0,0,204,120,0.5882352941176471,0
P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT50000_CONC2_COST200,P280_SPREAD_COST_MARGIN_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,204,3,201,20,181,0,2,2,3,3,8,-36.53907099026078,-0.03653907099026078,-1.1509807361932147,1,0,150000.0,1.5,0.946078431372549,-109.27526821541379,1,0,0,0,0,P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,1,1,0,0,0,204,120,0.5882352941176471,0
P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT75000_CONC1_COST200,P280_SPREAD_COST_MARGIN_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,204,2,202,17,185,0,2,2,3,2,8,-156.57823427887402,-0.15657823427887402,-4.932214379784532,1,0,150000.0,1.5,0.7426470588235294,-163.91290232312068,1,0,0,0,0,P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,1,1,0,0,0,204,120,0.5882352941176471,0
P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT75000_CONC2_COST200,P280_SPREAD_COST_MARGIN_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,204,3,201,20,181,0,2,2,3,3,8,-36.53907099026078,-0.03653907099026078,-1.1509807361932147,1,0,150000.0,1.5,0.946078431372549,-109.27526821541379,1,0,0,0,0,P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,1,1,0,0,0,204,120,0.5882352941176471,0
P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT100000_CONC1_COST200,P280_SPREAD_COST_MARGIN_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,1,cost200,2.0,0.0,204,2,202,17,185,0,2,2,3,2,8,-208.77097903849872,-0.20877097903849873,-6.5762858397127095,1,0,200000.0,2.0,0.9901960784313726,-218.55053643082758,1,0,0,0,0,P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,1,1,0,0,0,204,120,0.5882352941176471,0
P271_P280_SPREAD_COST_MARGIN_Q50_CAP100000_NOT100000_CONC2_COST200,P280_SPREAD_COST_MARGIN_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,2,cost200,2.0,0.0,204,3,201,20,181,0,2,2,3,3,8,-36.53907099026078,-0.03653907099026078,-1.1509807361932147,1,0,150000.0,1.5,0.946078431372549,-109.27526821541379,1,0,0,0,0,P280_SPREAD_COST_MARGIN_Q50,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= 4.915814 and depth_consensus_imbalance >= 0.575120,1,1,0,0,0,204,120,0.5882352941176471,0
P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT50000_CONC1_COST200,P280_ADVERSE_SELECTION_AVOID_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,555,2,553,22,531,0,2,2,6,1,8,40.333648265488684,0.040333648265488686,1.2705099203628936,1,0,100000.0,1.0,0.4981981981981982,-4.681801755091319,1,0,0,0,0,P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,1,1,0,0,0,555,277,0.4990990990990991,0
P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT50000_CONC2_COST200,P280_ADVERSE_SELECTION_AVOID_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,555,4,551,36,515,0,2,2,6,3,8,34.326858249219505,0.0343268582492195,1.0812960348504144,1,0,200000.0,2.0,0.9927927927927928,-34.52197584054658,1,0,0,0,0,P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,1,1,0,0,0,555,277,0.4990990990990991,0
P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT75000_CONC1_COST200,P280_ADVERSE_SELECTION_AVOID_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,555,2,553,22,531,0,2,2,6,1,8,60.50047239823303,0.06050047239823303,1.9057648805443403,1,0,150000.0,1.5,0.7472972972972973,-7.022702632636979,1,0,0,0,0,P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,1,1,0,0,0,555,277,0.4990990990990991,0
P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT75000_CONC2_COST200,P280_ADVERSE_SELECTION_AVOID_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,555,4,551,36,515,0,2,2,6,3,8,34.326858249219505,0.0343268582492195,1.0812960348504144,1,0,200000.0,2.0,0.9927927927927928,-34.52197584054658,1,0,0,0,0,P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,1,1,0,0,0,555,277,0.4990990990990991,0
P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT100000_CONC1_COST200,P280_ADVERSE_SELECTION_AVOID_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,1,cost200,2.0,0.0,555,2,553,22,531,0,2,2,6,1,8,80.66729653097737,0.08066729653097737,2.541019840725787,1,0,200000.0,2.0,0.9963963963963964,-9.363603510182639,1,0,0,0,0,P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,1,1,0,0,0,555,277,0.4990990990990991,0
P271_P280_ADVERSE_SELECTION_AVOID_Q50_CAP100000_NOT100000_CONC2_COST200,P280_ADVERSE_SELECTION_AVOID_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,2,cost200,2.0,0.0,555,4,551,36,515,0,2,2,6,3,8,34.326858249219505,0.0343268582492195,1.0812960348504144,1,0,200000.0,2.0,0.9927927927927928,-34.52197584054658,1,0,0,0,0,P280_ADVERSE_SELECTION_AVOID_Q50,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 610494.118466 and depth_withdrawal_pressure <= 13616.795344,1,1,0,0,0,555,277,0.4990990990990991,0
P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT50000_CONC1_COST200,P280_REPLENISH_CONFIRM_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,190,2,188,11,177,0,2,2,3,2,8,20.95231442900743,0.02095231442900743,0.6599979045137341,1,0,100000.0,1.0,0.49473684210526314,-4.681801755091319,1,0,0,0,0,P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,1,1,0,0,0,190,100,0.5263157894736842,0
P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT50000_CONC2_COST200,P280_REPLENISH_CONFIRM_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,190,5,185,32,153,0,2,2,3,3,8,164.11872382937133,0.16411872382937134,5.169739800625197,1,0,250000.0,2.5,0.95,-4.706129888786933,1,0,0,0,0,P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,1,1,0,0,0,190,100,0.5263157894736842,0
P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT75000_CONC1_COST200,P280_REPLENISH_CONFIRM_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,190,2,188,11,177,0,2,2,3,2,8,31.428471643511145,0.03142847164351115,0.9899968567706011,1,0,150000.0,1.5,0.7421052631578947,-7.022702632636979,1,0,0,0,0,P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,1,1,0,0,0,190,100,0.5263157894736842,0
P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT75000_CONC2_COST200,P280_REPLENISH_CONFIRM_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,190,5,185,32,153,0,2,2,3,3,8,164.11872382937133,0.16411872382937134,5.169739800625197,1,0,250000.0,2.5,0.95,-4.706129888786933,1,0,0,0,0,P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,1,1,0,0,0,190,100,0.5263157894736842,0
P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT100000_CONC1_COST200,P280_REPLENISH_CONFIRM_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,1,cost200,2.0,0.0,190,2,188,11,177,0,2,2,3,2,8,41.90462885801486,0.04190462885801486,1.3199958090274682,1,0,200000.0,2.0,0.9894736842105263,-9.363603510182639,1,0,0,0,0,P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,1,1,0,0,0,190,100,0.5263157894736842,0
P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT100000_CONC2_COST200,P280_REPLENISH_CONFIRM_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,2,cost200,2.0,0.0,190,5,185,32,153,0,2,2,3,3,8,164.11872382937133,0.16411872382937134,5.169739800625197,1,0,250000.0,2.5,0.95,-4.706129888786933,1,0,0,0,0,P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,1,1,0,0,0,190,100,0.5263157894736842,0
P271_P280_TIME_TO_EXIT_SHORT_HQ50_CAP100000_NOT50000_CONC1_COST200,P280_TIME_TO_EXIT_SHORT_HQ50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,640,2,638,17,621,0,2,2,7,1,8,40.333648265488684,0.040333648265488686,1.2705099203628936,1,0,100000.0,1.0,0.4984375,-4.681801755091319,1,0,0,0,0,P280_TIME_TO_EXIT_SHORT_HQ50,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 5.126904,1,1,0,0,0,640,308,0.48125,0
P271_P280_TIME_TO_EXIT_SHORT_HQ50_CAP100000_NOT50000_CONC2_COST200,P280_TIME_TO_EXIT_SHORT_HQ50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,640,4,636,32,604,0,2,2,7,3,8,88.92297661803613,0.08892297661803612,2.8010737634681377,1,0,200000.0,2.0,0.99375,-4.681801755091319,1,0,0,0,0,P280_TIME_TO_EXIT_SHORT_HQ50,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 5.126904,1,1,0,0,0,640,308,0.48125,0
P271_P280_TIME_TO_EXIT_SHORT_HQ50_CAP100000_NOT75000_CONC1_COST200,P280_TIME_TO_EXIT_SHORT_HQ50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,640,2,638,17,621,0,2,2,7,1,8,60.50047239823303,0.06050047239823303,1.9057648805443403,1,0,150000.0,1.5,0.74765625,-7.022702632636979,1,0,0,0,0,P280_TIME_TO_EXIT_SHORT_HQ50,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 5.126904,1,1,0,0,0,640,308,0.48125,0
P271_P280_TIME_TO_EXIT_SHORT_HQ50_CAP100000_NOT75000_CONC2_COST200,P280_TIME_TO_EXIT_SHORT_HQ50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,640,4,636,32,604,0,2,2,7,3,8,88.92297661803613,0.08892297661803612,2.8010737634681377,1,0,200000.0,2.0,0.99375,-4.681801755091319,1,0,0,0,0,P280_TIME_TO_EXIT_SHORT_HQ50,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 5.126904,1,1,0,0,0,640,308,0.48125,0
