metric,value,description
phase293_interpretation_complete,1,Phase293 interpretation completed
phase293_selected_next_route,P294_FULL_DEPTH_PRESSURE_ABSORPTION_CONTINUATION_SEARCH,Selected next route
phase293_phase292_variant_rows,144,Phase292 variants interpreted
phase293_phase292_scenario_rows,576,Phase292 scenarios interpreted
phase293_phase292_sparse_above12_scenario_rows,0,Phase292 sparse above-12 rows
phase293_phase292_robust_portfolio_floor_scenario_rows,0,Phase292 robust floor rows
phase293_phase292_robust_portfolio_above12_scenario_rows,0,Phase292 robust above-12 rows
phase293_best_phase292_variant_id,P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_ALL_ORIG_H10,Best interpreted Phase292 variant
phase293_best_repair_family,exhaustion_reversal_breadth_repair,Best interpreted repair family
phase293_best_side_mode,ORIG,Best interpreted side mode
phase293_best_market_bucket,ALL,Best interpreted market bucket
phase293_best_cost200_annualized_pct,5.678613627848375,Best fixed-capital annualized diagnostic
phase293_best_scheduled_event_rows,3,Best scheduled events
phase293_positive_but_below12_variant_rows,71,Positive but below-12 variants
phase293_close_phase292_for_acceptance,1,Close Phase292 route for acceptance
phase293_close_same_contrarian_repair_family,1,Close same contrarian repair family
phase293_do_not_relax_annualized_denominator,1,Keep fixed-capital annualized denominator
phase293_do_not_lower_cost_or_event_floor,1,Keep cost/event floors
phase293_strategy_replay_allowed,0,No strategy replay unlocked
phase293_strategy_promotion_allowed,0,No strategy promotion unlocked
phase293_paper_or_live_acceptance_allowed,0,No paper/live acceptance
phase293_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase293_hard_gate_pass_rows,10,Hard gates passed
phase293_hard_gate_rows,10,Hard gates evaluated
phase293_next_best_action,run_phase294_full_depth_pressure_absorption_continuation_search_no_paper_live,Recommended next milestone
