symbol,strategy_id,side,replenishment_bucket,shard_symbol_label_rows,symbols,trade_dates,inferred_touches,mean_replenishment_ratio,median_replenishment_ratio,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,label_candidate
BANKBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,2960,0.9649049741509254,0.9714673075747027,-11.950563216198697,-5.941597515733421,-20.21868321619869,1.0,0.0,-170.65287653522887,0.0,3.768956266531704,0.3289609622308051,False
NIFTYBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3580,0.965607149516362,0.9766541319724237,-12.059319867789936,-6.868624154987291,-20.327439867789945,1.0,0.0,-123.42648760475416,0.0,1.742233052418646,0.6210319369650555,False
CIPLA,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3760,0.961439650373511,0.973442394709363,-12.744244600373285,-8.985324072848243,-21.012364600373278,1.0,0.0,-142.93493057446204,0.0,3.0113689071730736,0.5670879422679916,False
BANKBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3580,0.9677513926562377,0.9768783561887011,-12.879717258163808,-7.696544110053494,-21.147837258163822,0.9871794871794872,0.0,-132.98603808383658,0.08341535843614523,3.778805531423272,0.3286745340028055,False
JUNIORBEES,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3140,0.9664630526973276,0.9728266317919181,-13.087198401493291,-7.730440866361155,-21.355318401493303,1.0,0.0,-133.5984196130091,0.0,3.915741059514776,0.6980487398519726,False
ITC,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3500,0.9622302468809593,0.973855363458153,-13.835698948869911,-8.79582793032574,-22.103818948869904,1.0,0.0,-97.84908321579854,-0.8727526618967918,2.3571962903330035,0.5092773331735955,False
NIFTYBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,3240,0.9628964992127894,0.9721867707512495,-13.902376376038434,-5.873720380908109,-22.170496376038447,0.990990990990991,0.0,-214.7588859605376,2.220446049250313e-12,1.7390720074179,0.6216762399089141,False
ITC,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,3580,0.9625052845597587,0.9718138039701503,-14.297363652375447,-7.504241836899239,-22.565483652375452,1.0,0.0,-232.19946876874232,-0.8731336767675568,2.3499756254892414,0.5112801873851031,False
CIPLA,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,3160,0.9633234497877422,0.9723575050335748,-14.84272499014491,-7.6845645133649665,-23.11084499014491,1.0,0.0,-261.0708329078604,0.0,3.0069978189144475,0.5702080739384788,False
NESTLEIND,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,9,1,6,3200,0.953889558515344,0.9595278246205734,-14.98254045896966,-7.489106753811869,-23.250660458969662,1.0,0.0,-225.89198805088472,0.0,3.1408087371919624,0.4098261419116593,False
RELIANCE,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,3340,0.9526844737361122,0.9663355505347373,-15.316579473649526,-7.99898092988277,-23.584699473649525,0.9938271604938271,0.0,-198.49418206707713,2.220446049250313e-12,1.7703267386906092,0.4455321718639163,False
BANKBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,13970,1.0075764089450998,1.0,-16.380060444690073,-11.268714312747118,-24.6481804446901,0.9954128440366973,0.0,-181.28751130477627,0.08341535843614523,3.7779175140907477,0.3284897036280254,False
ITBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3500,0.9637086455276097,0.9708023986293547,-16.66663925850752,-10.79584255215066,-24.934759258507526,1.0,0.0,-239.30601256356488,0.0,3.607085543046033,0.7404621965897564,False
JUNIORBEES,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,14910,1.0089421391981066,1.0,-16.722905784830665,-11.564396255494547,-24.99102578483071,0.9967948717948718,0.0,-133.5984196130091,0.18700443823904678,3.9158095387227463,0.6977462697519593,False
CIPLA,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,15090,1.007401320164058,1.0,-16.874090426889943,-12.455405644274386,-25.14221042688995,1.0,0.0,-142.93493057446204,0.0,3.012638383574054,0.568515767570427,False
NIFTYBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,15170,1.0069261918145027,1.0,-17.013013828595458,-13.38294956306052,-25.28113382859546,1.0,0.0,-156.16147308781802,0.0,1.7439054729378645,0.6213595245923921,False
ICICIBANK,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,3700,0.9527015517625553,0.9616006248206828,-17.351541405304108,-8.581947195107631,-25.619661405304104,0.9920634920634921,0.0,-311.08950767307687,2.220446049250313e-12,1.7513583793933625,0.36689237136319597,False
SUNPHARMA,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,6030,1.0070380522781022,1.0,-17.539668348006256,-15.000111724006171,-25.80778834800626,1.0,0.0,-162.43551105889375,0.0,2.319839002251959,0.30605704018838215,False
ITBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,2740,0.9613934723047981,0.9695675770636523,-17.59385474535898,-7.776072524174893,-25.861974745358967,1.0,0.0,-280.45838359469053,-1.5199878400984357,3.594010419852237,0.7418203235125786,False
SUNPHARMA,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,1620,0.9527037010114964,0.9561578258015306,-17.747159609273968,-12.36143238346893,-26.01527960927395,1.0,0.0,-162.43551105889375,0.0,2.3224806216672267,0.307781312453374,False
BANKBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,6,1,6,13190,1.0080547746699453,1.0,-17.806494744237124,-9.546384210799562,-26.07461474423714,1.0,0.0,-259.6389750922068,0.0,3.7661423552203686,0.32823532794638627,False
NIFTYBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R03_rebuilt_1p00_1p50,6,1,6,13658,1.0084544072590211,1.0,-17.810153125896353,-9.926129836771992,-26.07827312589637,0.9961456671982988,0.0,-214.7588859605376,2.220446049250313e-12,1.7386995606010167,0.6211329100793038,False
NESTLEIND,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,9,1,6,3580,0.9417272522495226,0.9571428571428572,-18.22041965642239,-13.092353407520019,-26.48853965642239,1.0,0.0,-196.23875715453764,0.0,3.15951443324657,0.40700857176248945,False
ICICIBANK,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,6,1,6,3660,0.9587914493036364,0.9659599197338062,-18.627674685559942,-9.628274273145998,-26.895794685559945,0.9871794871794872,0.0,-148.08006535947715,2.220446049250313e-12,1.7605651350467377,0.368155254255369,False
ITBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,14050,1.0072559624917974,1.0,-18.67550699716765,-10.920453827484856,-26.94362699716767,1.0,0.0,-239.30601256356488,0.0,3.6039641308526726,0.7410037226120124,False
ITC,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,6,1,6,14750,1.0068379430014072,1.0,-18.72537500020366,-14.212573674429741,-26.993495000203698,1.0,0.0,-262.97755696419455,-0.8727526618945713,2.357294861537736,0.509843854756742,False
SUNPHARMA,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,6,960,0.9707494037333358,0.975953552358513,-18.863545568981404,-7.737796647942218,-27.1316655689814,1.0,0.0,-179.8212005108557,0.0,2.3125462124286638,0.30546912690908024,False
