metric,value,description
phase338_cost_stress_holdout_validation_execution_complete,1,Phase338 execution completed
phase338_holdout_partition_method,event_hash_seed_338_bucket_lt_50,Synthetic deterministic holdout partition
phase338_holdout_event_rows,36,Holdout event rows
phase338_scenario_rows,128,Scenario rows evaluated
phase338_primary_cost200_rows,32,Primary 2x-cost rows
phase338_holdout_acceptance_candidate_rows,8,Primary 2x-cost holdout acceptance rows
phase338_best_holdout_candidate,P335_P334_LANE_D_HORIZON_AND_EXIT_MARGIN_SQ0p750_SPQ1p000_DSQ0p500_TOP2_H900_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,Best primary 2x-cost holdout candidate
phase338_best_holdout_annualized_return_pct,20.82928580629932,Best primary 2x-cost annualized return
phase338_best_holdout_scheduled_events,34,Best primary 2x-cost scheduled events
phase338_best_holdout_positive_symbol_date_cells,30,Best positive symbol-date cells
phase338_best_holdout_control_pass,1,Best primary 2x-cost control pass
phase338_passive_aware_cost200_above12_rows,0.0,Passive-aware 2x-cost rows above 12%
phase338_passive_aware_cost200_acceptance_rows,0.0,Passive-aware diagnostic acceptance rows
phase338_passive_aware_avg_fill_probability,0.47899114188253783,Average passive fill probability
phase338_maker_rebate_assumed,0,No maker rebate
phase338_full_depth_required,1,Full top-five depth required
phase338_levels_2_to_5_required,1,Levels 2-5 materiality required
phase338_l1_only_allowed,0,No L1-only variants
phase338_net_edge_live_mask_allowed,0,No lookahead masks
phase338_strategy_replay_allowed,0,No replay
phase338_strategy_promotion_allowed,0,No promotion
phase338_paper_or_live_acceptance_allowed,0,No paper/live
phase338_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase338_hard_gate_pass_rows,12,Passed hard gates
phase338_hard_gate_rows,12,Hard gates
phase338_next_best_action,run_phase339_cost_stress_holdout_validation_interpretation_no_replay,Recommended next action
