strategy_id,strategy_name,required_scenario,promotion_allowed_now,current_evidence_label
S01,Momentum/breakout filtered by MLOFI,gradual_trend,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,strong_rally,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,sell_off,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,false_breakout_day,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,sideways_day,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,shock_continuation,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,shock_reversal,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,normal_balanced,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,sideways,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,trend,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,shock,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,high_volatility,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,low_liquidity,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,genuine_continuation,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,fake_withdrawal_then_replenishment,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,spread_blowout,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,market_wide_shock,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,isolated_ticker_vacuum,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,rapid_recovery,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,multi_level_sweep,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,bullish_continuation,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,bearish_continuation,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,bid_side_absorption,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,offer_side_absorption_or_exhaustion,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,false_breakout,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,normal,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,trend,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,sideways,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,spread_widening,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,shock,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,true_absorption_like,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,temporary_pause_before_continuation,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,hidden_liquidity_like_replenishment,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,multiple_passive_participants,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,post_shock_stabilization,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,deceptive_replenishment,False,engineering_and_within_day_falsification_only
