strategy_id,support_level,rows_evaluated,signal_rows,signal_fraction,mean_future_return_when_signaled,signed_mean_future_return,directional_accuracy_nonzero,profiles,symbols,status,name,role,caveat
S01,runnable_proxy,2259228,164253,0.07270315346658239,2.01051214547453e-05,-0.0010861250864051576,0.4349823408827089,5,30,diagnostic_only_not_acceptance_test,Momentum/breakout filtered by MLOFI,priority,"Current proxy uses 5-minute synthetic features, not true 1/5/15/30 second MLOFI lookbacks."
S02,runnable_proxy,2259228,898620,0.3977553394345325,9.570811558263237e-07,-0.00011216965495378042,0.4857553300649869,5,27,diagnostic_only_not_acceptance_test,Pure multi-level OFI directional model,priority,Current proxy can compare static imbalance and mlofi_qty at 5-minute event spacing only.
S03,partial_missing_required_features,2259228,280476,0.12414683245781302,-5.599243937028176e-05,-0.0006915271702102403,0.4678343203787374,5,21,diagnostic_only_not_acceptance_test,Liquidity-vacuum breakout,priority,Only a weak proxy exists because Phase 9 Tier C does not yet carry explicit withdrawal/replenishment rates.
S04,partial_missing_required_features,2259228,424887,0.18806733981696402,-3.581720684654681e-05,-0.00020310341034175336,0.4808291536833686,5,32,diagnostic_only_not_acceptance_test,Trade-flow plus depth confirmation,priority,Event intensity is not a substitute for signed aggressive trade imbalance.
S05,runnable_proxy,2259228,445798,0.19732315640563944,-3.15943076107655e-05,-3.009929688360986e-05,0.4973672378709854,5,16,diagnostic_only_not_acceptance_test,Microprice entry/exit filter,filter,Standalone microprice results are diagnostic only; plan says not to promote it as a standalone annual-return strategy.
S06,partial_missing_required_features,2259228,33993,0.015046290148670254,1.8084509009095187e-07,2.7087222419457974e-05,0.5054545454545455,5,32,diagnostic_only_not_acceptance_test,Absorption and exhaustion reversal,priority,Can only label absorption-like proxies; top-five market-by-price cannot prove iceberg/participant identity.
S07,runnable_proxy,2259228,234925,0.10398463545954637,-4.12097711763527e-05,2.6899787343197964e-05,0.5014212645745418,5,6,diagnostic_only_not_acceptance_test,Mean reversion after imbalance,priority,Proxy uses imbalance/intensity and regime_code; explicit replenishment is still missing.
S08,partial_missing_required_features,2259228,442644,0.19592710430288576,-6.471593168289101e-05,4.8915996596285785e-06,0.5040055737719996,5,32,diagnostic_only_not_acceptance_test,Cross-ticker/index lead-lag OFI,research,"Can compute market-level proxy factors, but causal lead-lag validation requires dedicated synthetic controls."
S09,runnable_proxy,2259228,585341,0.2590889454273761,-1.416280693290478e-05,-1.4199780282302843e-05,0.49771994294587585,5,11,diagnostic_only_not_acceptance_test,Pure queue-imbalance scalping,benchmark,Benchmark only. Accuracy above 50% is not sufficient without spread/cost survival.
S10,not_supported_by_current_product,2259228,0,0.0,,,,5,32,not_evaluated_missing_product_support,Passive market making,research_only,Requires Phase 12 execution simulator and pessimistic queue-fill assumptions.
S11,not_supported_by_current_product,2259228,0,0.0,,,,5,32,not_evaluated_missing_product_support,Spoof-like wall filter,risk_filter_only,Current top-five snapshots do not support spoof/manipulation assertions.
