strategy_id,strategy_name,primary_metric,promotion_allowed_now,current_evidence_label
S01,Momentum/breakout filtered by MLOFI,false_breakout_reduction,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,net_expectancy,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,mae,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,mfe,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,cost_sensitivity,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,latency_tolerance,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,regime_stability,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,information_coefficient,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,directional_accuracy,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,calibration,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,signal_deciles,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,net_edge_after_spread,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,incremental_l2_l5_value,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,feature_stability,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,net_expectancy,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,continuation_probability,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,slippage_sensitivity,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,latency_tolerance,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,false_positive_rate,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,shock_template_stability,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,state_conditional_return,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,classification_accuracy,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,calibration,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,net_expectancy_by_state,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,regime_stability,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,entry_slippage,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,post_entry_adverse_movement,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,brier_score,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,trade_reduction,False,engineering_and_within_day_falsification_only
S05,Microprice entry/exit filter,net_performance_uplift_over_parent,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,reversal_probability,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,net_expectancy,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,false_absorption_rate,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,label_stability,False,engineering_and_within_day_falsification_only
S06,Absorption and exhaustion reversal,cost_sensitivity,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,regime_aware_vs_unaware_uplift,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,net_expectancy,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,drawdown,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,false_reversion_rate,False,engineering_and_within_day_falsification_only
S07,Short-term mean reversion after imbalance,cost_sensitivity,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,incremental_predictive_value,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,false_detection_rate,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,lead_lag_stability,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,net_edge_after_costs,False,engineering_and_within_day_falsification_only
S08,Cross-ticker/index lead-lag OFI,control_rejection_rate,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,next_quote_accuracy,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,expected_move_vs_spread,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,latency_decay,False,engineering_and_within_day_falsification_only
S09,Pure queue-imbalance scalping,net_edge_after_costs,False,engineering_and_within_day_falsification_only
S10,Passive market making,pessimistic_model_pnl,False,engineering_and_within_day_falsification_only
S10,Passive market making,inventory_drawdown,False,engineering_and_within_day_falsification_only
S10,Passive market making,spread_capture,False,engineering_and_within_day_falsification_only
S10,Passive market making,adverse_selection_loss,False,engineering_and_within_day_falsification_only
S10,Passive market making,liquidation_cost,False,engineering_and_within_day_falsification_only
S10,Passive market making,fill_uncertainty,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,risk_filter_precision,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,false_positive_rate,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,miss_rate,False,engineering_and_within_day_falsification_only
S11,Suspicious wall/spoof-like pattern filter,parent_strategy_drawdown_reduction,False,engineering_and_within_day_falsification_only
