symbol,instrument_class,rows,reference_ltp_median,ltp_q05,ltp_q95,inferred_tick_size_median,spread_median,spread_q95,spread_ticks_median,spread_ticks_q95,mid_change_std,microprice_change_std,nonzero_price_change_fraction,evidence_label
ADANIPORTS,equity,13886,1816.0,1810.0,1820.5,0.09999999999990905,0.40000000000009095,0.7999999999999545,4.0000000000045475,8.000000000006821,15.357392103285362,0.20593165442996753,0.46356042056747804,measured_one_day
AXISBANK,equity,18309,1320.3,1316.6,1327.0,0.09999999999990905,0.20000000000004547,0.5,2.0000000000022737,5.0000000000045475,9.764280875814705,0.11401624685814386,0.4467748102026326,measured_one_day
BAJAJ-AUTO,equity,25141,10270.0,10111.0,10405.0,0.5,3.0,5.0,6.0,10.0,65.68312831210498,1.5197456855674538,0.32468875541943437,measured_one_day
BANKBEES,etf,18916,599.34,597.0,601.24,0.009999999999990905,0.21000000000003638,0.34000000000003183,21.000000000022737,34.000000000034106,4.369250057838525,0.0548757594684437,0.10604779023049271,measured_one_day
BHARTIARTL,equity,19560,1905.5,1899.5,1910.6,0.09999999999990905,0.2999999999999545,0.7000000000000455,3.0000000000022737,7.000000000006821,13.611335315812347,0.18804806047347944,0.4352760736196319,measured_one_day
BPCL,equity,10684,306.0,304.75,307.85,0.049999999999954525,0.05000000000001137,0.1500000000000341,1.0000000000011369,3.0000000000034106,2.977011899648847,0.038609693743313425,0.35277049794084614,measured_one_day
BRITANNIA,equity,8526,5350.5,5326.5,5365.0,0.5,2.0,3.0,4.0,6.0,57.83029784077989,0.6736612406185983,0.3634764250527797,measured_one_day
CIPLA,equity,11664,1427.0,1423.4,1431.6,0.09999999999990905,0.40000000000009095,0.7000000000000455,4.0000000000045475,7.000000000006821,13.193393337949667,0.19278721484193098,0.4299554183813443,measured_one_day
DRREDDY,equity,12257,1231.9,1227.5,1242.6,0.09999999999990905,0.3000000000001819,0.6000000000001364,3.0000000000045475,6.000000000006821,11.161279230024485,0.1742023952075364,0.4645508688912458,measured_one_day
GOLDBEES,etf,12982,116.82,116.62,117.10949999999998,0.009999999999990905,0.010000000000005116,0.030000000000001137,1.000000000001421,3.000000000002842,1.4503866176036935,0.0076721882084433155,0.31844091819442305,measured_one_day
HCLTECH,equity,29266,1220.9,1174.2,1232.9,0.09999999999990905,0.3000000000001819,0.599999999999909,3.0000000000045475,6.0000000000045475,7.153826027897434,0.17975537402921019,0.5751725551834894,measured_one_day
HDFCBANK,equity,35959,818.7,813.25,820.25,0.049999999999954525,0.10000000000002274,0.25,2.0000000000022737,5.0000000000045475,4.31077218283087,0.06127360272641795,0.5172001446091382,measured_one_day
HINDUNILVR,equity,12173,2128.4,2123.0,2136.0,0.09999999999990905,0.40000000000009095,0.900000000000091,4.0000000000045475,9.000000000009095,19.336666867719934,0.24960460900986192,0.4076234289000246,measured_one_day
ICICIBANK,equity,26474,1403.5,1392.1,1410.5,0.09999999999990905,0.20000000000004547,0.5,2.0000000000022737,5.0000000000045475,8.649905263658411,0.11065613859232437,0.4652866963813553,measured_one_day
INFY,equity,34511,1102.0,1067.3,1112.0,0.09999999999990905,0.20000000000004547,0.5,2.0000000000022737,5.0000000000045475,5.9325912621836725,0.13388135722563305,0.5517661035611834,measured_one_day
ITBEES,etf,11481,32.13,31.22,32.36,0.00999999999999801,0.010000000000001563,0.020000000000003126,1.0000000000003553,2.0000000000007105,0.41717235915794404,0.004179743616910708,0.3675638010626252,measured_one_day
ITC,equity,12379,280.1,279.75,280.95,0.049999999999954525,0.05000000000001137,0.14999999999997726,1.0000000000011369,3.0000000000022737,2.5156577127352358,0.0210039247158886,0.5084417158090314,measured_one_day
JUNIORBEES,etf,17442,778.0,776.29,779.43,0.009999999999990905,0.2799999999999727,0.4700000000000273,28.000000000022737,47.000000000045475,8.309845826348614,0.08659939459440046,0.18036922371287697,measured_one_day
