symbol,instrument_class,book_valid_fraction,bid_l5_qty_median,ask_l5_qty_median,bid_l5_qty_q95,ask_l5_qty_q95,l1_imbalance_median,l1_imbalance_q05,l1_imbalance_q95,l5_imbalance_median,l5_imbalance_q05,l5_imbalance_q95,book_slope_l5_median,book_convexity_l5_median,mlofi_qty_q05,mlofi_qty_median,mlofi_qty_q95,evidence_label
ADANIPORTS,equity,0.9999279850208843,512.0,385.0,3048.0,1363.0,0.18518518518518517,-0.9230299328039095,0.961962701430382,0.15977961432506887,-0.5885328836424958,0.7862824262566598,0.4999999999998863,0.6314152410575428,-401.75,0.0,412.0,measured_one_day
AXISBANK,equity,0.9999453820525425,1543.0,1475.0,4819.5999999999985,6663.0,-0.008403361344537815,-0.9604496855345911,0.9424708776862819,-0.0011467889908256881,-0.6744955342375124,0.6779792344645901,0.40000000000009095,0.441593652393817,-1058.0,0.0,1046.5999999999985,measured_one_day
BAJAJ-AUTO,equity,0.999960224334752,164.0,150.0,408.0,514.0,-0.08383534136546184,-0.9375,0.9090909090909091,0.011494252873563218,-0.6051660516605166,0.5819245372136537,2.5,1.173913043478261,-103.0,0.0,106.0,measured_one_day
BANKBEES,etf,0.9999471347007824,2232.5,1314.0,39793.0,7046.0,-0.19480519480519481,-0.9841269841269841,0.9809358752166378,0.16302367941712204,-0.878428321338261,0.9674198633736206,0.1349999999999909,0.4883720930232558,-4741.25,0.0,4674.0,measured_one_day
BHARTIARTL,equity,0.9999488752556237,1700.0,1480.0,8175.0,9232.149999999998,0.040238450074515646,-0.9708205721144936,0.96875,0.022081627589629078,-0.691545574636724,0.7767340322783324,0.4499999999999318,0.44904667981591057,-1420.1,0.0,1436.0499999999993,measured_one_day
BPCL,equity,0.999906402096593,9292.5,10076.0,20443.0,23362.0,0.0622598001537279,-0.9625775656324582,0.9782870928829915,-0.024453232184650148,-0.5155034512983455,0.48059421841541755,0.19999999999998863,0.4320190023752969,-2905.65,0.0,2968.7000000000007,measured_one_day
BRITANNIA,equity,0.9998827117053718,154.0,156.0,1078.0,651.0,0.19148936170212766,-0.8461538461538461,0.9410690303518664,0.0374331550802139,-0.6596610169491526,0.7409420289855072,2.0,0.49382716049382713,-82.0,0.0,87.0,measured_one_day
CIPLA,equity,0.9999142661179699,976.0,384.0,3262.0,1622.4000000000015,0.22727272727272727,-0.9449662972571069,0.975,0.42885278188084686,-0.4785214785214785,0.8420954307305493,0.4500000000000455,0.4805914972273567,-506.70000000000005,0.0,505.85000000000036,measured_one_day
DRREDDY,equity,0.9999184139675288,1510.0,1115.0,6056.79999999999,4696.199999999999,0.018892000908373254,-0.9789473684210527,0.967248131007476,0.12429759078604757,-0.5750955761878754,0.7494700007562451,0.4499999999999318,0.5298013245033113,-964.0,0.0,963.1999999999989,measured_one_day
GOLDBEES,etf,0.9998459405330458,38478.0,50615.0,107089.0,151340.0,-0.4877659574468085,-0.9957291516443,0.9789886538730914,-0.1458433659728539,-0.6627587236697235,0.4505584908251526,0.03999999999999915,0.4416903036982168,-13196.4,0.0,13231.649999999992,measured_one_day
HCLTECH,equity,0.9999658306567347,1470.0,2270.0,6113.0,7930.0,-0.18592964824120603,-0.9767431842884261,0.9611650485436893,-0.18649416219627643,-0.7508692365835223,0.5476236891565254,0.40000000000009095,0.5363849765258216,-1467.75,0.0,1462.0,measured_one_day
HDFCBANK,equity,0.999972190550349,4049.0,10666.0,20960.599999999962,21812.0,-0.32141930403003516,-0.9887326333946141,0.9525007499719891,-0.3960154477822437,-0.8573420856142011,0.4702027285477496,0.2249999999999659,0.38421656547268107,-5377.1,0.0,5313.0999999999985,measured_one_day
HINDUNILVR,equity,0.9999178509816807,626.0,552.0,2111.399999999998,2582.0,-0.11695219673943077,-0.9652388522375009,0.9414456324320617,0.019626185366569453,-0.7287455154761885,0.6671655324145673,0.5,0.82,-462.0,0.0,465.0,measured_one_day
ICICIBANK,equity,0.9999622270907306,2132.0,3667.0,7728.699999999997,10680.0,-0.2742382271468144,-0.9847715736040609,0.9462778204144282,-0.2617874736101337,-0.8303315168522136,0.4503577512776831,0.40000000000009095,0.443630214205186,-2126.35,0.0,2079.699999999997,measured_one_day
INFY,equity,0.9999710237315639,3925.0,5073.0,9952.5,13374.5,-0.41645866660027264,-0.9867549668874173,0.9312605767532168,-0.13044925124792014,-0.6979925386391899,0.47711659409772617,0.40000000000009095,0.4233697335402063,-3096.0,0.0,3161.0,measured_one_day
ITBEES,etf,0.9998257991464158,1689824.0,401236.0,2210055.0,774375.0,0.2825523748600672,-0.9571374409169443,0.9869411052495027,0.5937813710190699,-0.3054637271075433,0.7960212995431779,0.03999999999999915,0.7733589495217346,-203019.0,0.0,201531.0,measured_one_day
ITC,equity,0.9999192180305356,69852.0,31197.0,185836.29999999847,63348.0,0.274370781172612,-0.9546708729922307,0.9445268597920841,0.37524618519977393,-0.08995376841045948,0.7753099612624318,0.19999999999998863,0.38448454240973573,-7160.799999999999,0.0,7146.099999999984,measured_one_day
JUNIORBEES,etf,0.9998853342506593,1017.0,3575.0,7703.0,36779.9,-0.6,-0.9970071976881419,0.94611422316657,-0.5983920972644377,-0.9823736048438982,0.7904521061745646,0.17999999999994998,0.5388127853881278,-10551.699999999999,0.0,10542.650000000005,measured_one_day
KOTAKBANK,equity,0.9999290327159179,11192.0,13748.0,33784.0,35318.0,-0.2555408983664921,-0.9875,0.9668411867364747,-0.10285424759331194,-0.6464799101088767,0.4179303449425096,0.19999999999998863,0.3155313062018567,-6126.0,0.0,5989.0,measured_one_day
LT,equity,0.9999486283776842,213.0,231.0,1055.0,1250.0,-0.0051813471502590676,-0.9490445859872612,0.9354838709677419,-0.039473684210526314,-0.7427067565707995,0.7127468581687613,0.7000000000002728,1.2745098039215685,-233.0,0.0,228.0,measured_one_day
M&M,equity,0.9999610879800771,183.0,238.0,1275.0,1470.0,0.0,-0.9611650485436893,0.9459459459459459,-0.12944417436396047,-0.8096704042638777,0.6637750988411054,0.650000000000091,0.7838827838827839,-221.0,0.0,222.09999999999854,measured_one_day
MARUTI,equity,0.999963827093507,164.0,196.0,578.0,1806.7999999999993,-0.016133229247983348,-0.937888198757764,0.9166666666666666,-0.0873015873015873,-0.7721210986568751,0.5454545454545454,4.0,0.5881317315658658,-93.0,0.0,94.0,measured_one_day
