symbol,instrument_class,cum_volume_increment_total,positive_volume_increment_rows,positive_volume_increment_median,positive_volume_increment_q95,buy_pressure_weak_rows,sell_pressure_weak_rows,unknown_aggressor_rows,inferred_withdrawal_rows,inferred_replenishment_rows,volume_reversal_rows,evidence_label
ADANIPORTS,equity,1152967.0,5759,21.0,811.5999999999913,1375,1444,11067,6994,6809,0,weakly_inferred_one_day
AXISBANK,equity,3661119.0,8969,103.0,1558.6000000000004,2057,1962,14290,9585,9441,0,weakly_inferred_one_day
BAJAJ-AUTO,equity,1008244.0,10035,21.0,349.0,2441,2479,20221,16263,16323,0,weakly_inferred_one_day
BANKBEES,etf,926762.0,2883,14.0,1000.0,555,595,17766,12558,12300,0,weakly_inferred_one_day
BHARTIARTL,equity,7814972.0,9053,118.0,2255.7999999999993,2111,2141,15308,10405,10332,0,weakly_inferred_one_day
BPCL,equity,5503590.0,4379,134.0,4595.799999999996,772,715,9197,4630,4569,0,weakly_inferred_one_day
BRITANNIA,equity,132453.0,3458,11.0,150.0,619,596,7311,4408,4344,0,weakly_inferred_one_day
CIPLA,equity,842918.0,4855,38.0,677.1000000000013,1022,1055,9587,5736,5688,0,weakly_inferred_one_day
DRREDDY,equity,2429905.0,5148,212.0,1738.949999999999,964,1125,10168,5407,5383,0,weakly_inferred_one_day
GOLDBEES,etf,19576385.0,5606,605.0,14654.25,925,843,11214,5868,5692,0,weakly_inferred_one_day
HCLTECH,equity,9015192.0,16703,153.0,2004.4999999999982,4636,5029,19601,17231,17035,0,weakly_inferred_one_day
HDFCBANK,equity,21219046.0,21059,313.0,3834.0,5586,5658,24715,21259,20895,0,weakly_inferred_one_day
HINDUNILVR,equity,1830885.0,5258,63.0,1304.449999999999,1026,1143,10004,5986,5848,0,weakly_inferred_one_day
ICICIBANK,equity,9961531.0,13980,186.0,2594.0499999999993,3383,3306,19785,14921,14808,0,weakly_inferred_one_day
INFY,equity,20929392.0,20383,349.0,3451.7999999999956,5840,5903,22768,20738,20685,0,weakly_inferred_one_day
ITBEES,etf,58316856.0,4811,1534.0,59973.0,887,876,9718,5586,5565,0,weakly_inferred_one_day
ITC,equity,12495457.0,5367,526.0,7729.5999999999985,1376,1312,9691,5342,5312,0,weakly_inferred_one_day
JUNIORBEES,etf,320257.0,4088,7.0,287.0,847,877,15718,12092,11884,0,weakly_inferred_one_day
KOTAKBANK,equity,14151342.0,6286,525.0,8436.5,1491,1499,11101,6701,6682,0,weakly_inferred_one_day
LT,equity,1736169.0,9500,32.0,723.1499999999978,2181,2381,14904,10566,10197,0,weakly_inferred_one_day
M&M,equity,1758281.0,11596,29.0,634.25,3085,3038,19576,15609,15584,0,weakly_inferred_one_day
MARUTI,equity,457493.0,11206,5.0,126.0,2950,2790,21905,17721,17574,0,weakly_inferred_one_day
NESTLEIND,equity,2165526.0,4932,81.0,1529.8999999999996,954,961,11003,7105,7038,0,weakly_inferred_one_day
NIFTYBEES,etf,6546086.0,9376,34.0,2285.0,1698,1695,19021,13988,13077,0,weakly_inferred_one_day
ONGC,equity,12380093.0,7991,157.0,6081.5,1813,1870,13622,8821,8435,0,weakly_inferred_one_day
RELIANCE,equity,9416233.0,14297,139.0,2618.199999999999,3524,3544,18988,14625,14477,0,weakly_inferred_one_day
SBIN,equity,8331069.0,13317,109.0,2335.1999999999935,3320,3260,18148,13857,13776,0,weakly_inferred_one_day
SUNPHARMA,equity,1569108.0,6297,82.0,816.1999999999998,1507,1572,11531,7574,7529,0,weakly_inferred_one_day
TCS,equity,12328489.0,21495,186.0,2028.2999999999993,7031,6646,22790,21760,21611,0,weakly_inferred_one_day
TECHM,equity,2283371.0,8704,56.5,1070.1000000000022,2383,2346,14395,10849,10715,0,weakly_inferred_one_day
ULTRACEMCO,equity,120978.0,3605,4.0,115.0,671,727,6988,4106,4058,0,weakly_inferred_one_day
WIPRO,equity,22350219.0,10485,524.0,8663.599999999966,3021,3050,14263,11247,11105,0,weakly_inferred_one_day
