symbol,instrument_class,rows,duration_seconds,event_rate_per_second,elapsed_ms_q05,elapsed_ms_q25,elapsed_ms_median,elapsed_ms_q75,elapsed_ms_q95,stale_gap_gt_5s_count,stale_gap_gt_15s_count,volume_increment_rows,evidence_label
ADANIPORTS,equity,13886,22806.995,0.6088482941308139,1.0,251.0,1000.0,2249.0,5500.0,1018,2,5759,measured_one_day
AXISBANK,equity,18309,22775.094,0.803904475652219,1.0,250.0,749.0,1445.75,4913.649999999998,840,2,8969,measured_one_day
BAJAJ-AUTO,equity,25141,22775.495,1.1038618480081333,1.0,248.0,741.0,1000.0,4410.049999999999,549,2,10035,measured_one_day
BANKBEES,etf,18916,22573.876,0.8379597726150352,1.0,251.0,1000.0,1001.0,4833.0,750,2,2883,measured_one_day
BHARTIARTL,equity,19560,22806.995,0.8576316169666368,1.0,250.0,749.0,1250.0,4762.399999999994,788,2,9053,measured_one_day
BPCL,equity,10684,22775.094,0.4691089310103396,1.0,500.0,1602.0,3000.0,6081.699999999999,1243,2,4379,measured_one_day
BRITANNIA,equity,8526,22776.245,0.3743373852889271,1.0,750.0,2000.0,4341.0,7000.799999999999,1463,2,3458,measured_one_day
CIPLA,equity,11664,22806.995,0.5114220439825589,1.0,499.0,1194.0,3000.0,5953.9,1131,2,4855,measured_one_day
DRREDDY,equity,12257,22775.245,0.5381720372272615,1.0,463.0,1250.0,2750.0,5750.0,1065,2,5148,measured_one_day
GOLDBEES,etf,12982,22571.499,0.5751501041202447,1.0,251.0,1000.0,2500.0,5680.0,1042,2,5606,measured_one_day
HCLTECH,equity,29266,22775.245,1.2849916652927336,0.0,206.0,500.0,751.0,4158.799999999999,487,2,16703,measured_one_day
HDFCBANK,equity,35959,22775.094,1.5788738347248972,0.0,97.25,500.0,750.0,1250.0,212,2,21059,measured_one_day
HINDUNILVR,equity,12173,22775.094,0.5344873658918817,1.0,282.0,1001.0,2751.0,5859.449999999999,1102,2,5258,measured_one_day
ICICIBANK,equity,26474,22775.094,1.1624101309966053,0.0,248.0,500.0,1000.0,4201.399999999998,531,2,13980,measured_one_day
INFY,equity,34511,22775.245,1.5152855655339823,0.0,124.0,500.0,750.0,2627.0999999999913,257,2,20383,measured_one_day
ITBEES,etf,11481,22571.748,0.5086447004458848,1.0,499.0,1250.0,3000.0,5993.0,1143,2,4811,measured_one_day
ITC,equity,12379,22775.245,0.5435287304263906,1.0,319.0,1250.0,2669.75,5750.0,1063,2,5367,measured_one_day
JUNIORBEES,etf,17442,22571.748,0.7727358997628363,1.0,250.0,999.0,1001.0,5021.0,902,2,4088,measured_one_day
KOTAKBANK,equity,14091,22775.094,0.6187021664981931,1.0,250.0,1000.0,2250.0,5475.549999999999,993,2,6286,measured_one_day
LT,equity,19466,22775.245,0.8546999165102286,1.0,250.0,749.0,1250.0,4750.0,767,2,9500,measured_one_day
M&M,equity,25699,22806.995,1.1268034214941514,1.0,248.0,501.0,1000.0,4285.449999999993,511,2,11596,measured_one_day
MARUTI,equity,27645,22775.094,1.2138259451311155,1.0,248.0,502.0,1000.0,4139.699999999997,369,2,11206,measured_one_day
NESTLEIND,equity,12918,22776.245,0.5671698736995497,1.0,252.0,1000.0,2501.0,5800.199999999999,1137,2,4932,measured_one_day
NIFTYBEES,etf,22414,22571.499,0.9930222179749781,1.0,249.0,749.0,1000.0,4542.0,649,2,9376,measured_one_day
ONGC,equity,17305,22775.245,0.7598161951715559,1.0,250.0,750.0,1749.0,5000.0,863,2,7991,measured_one_day
RELIANCE,equity,26056,22774.494,1.144086889482594,0.0,248.0,500.0,999.0,4324.0,615,2,14297,measured_one_day
SBIN,equity,24728,22775.094,1.0857474397251663,0.0,249.0,500.0,1000.0,4329.0,611,2,13317,measured_one_day
SUNPHARMA,equity,14610,22775.094,0.641490217340047,1.0,250.0,982.0,2000.0,5483.999999999993,1040,2,6297,measured_one_day
TCS,equity,36467,22774.494,1.6012210853070985,0.0,90.25,500.0,750.0,1250.0,190,2,21495,measured_one_day
TECHM,equity,19124,22775.094,0.8396891797680396,1.0,250.0,749.0,1038.0,4856.699999999993,828,2,8704,measured_one_day
ULTRACEMCO,equity,8386,22776.245,0.3681906301938709,1.0,751.0,2245.0,4325.0,6772.5999999999985,1426,2,3605,measured_one_day
WIPRO,equity,20334,22775.094,0.8928173907866198,1.0,249.0,524.0,1001.0,4730.799999999996,781,2,10485,measured_one_day
