fill_model_id,profile,base_fill_probability,queue_haircut,churn_haircut,levels_2_to_5_support_boost,nonfill_stress_multiplier,queue_adversity_multiplier,adverse_selection_penalty_multiplier,max_fill_probability_cap,formula_contract
P261_FILL_conservative_low_fill_QA0p75,conservative_low_fill,0.08,0.55,0.6,0.05,1.25,0.75,1.25,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_conservative_low_fill_QA1p0,conservative_low_fill,0.08,0.55,0.6,0.05,1.25,1.0,1.25,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_conservative_low_fill_QA1p25,conservative_low_fill,0.08,0.55,0.6,0.05,1.25,1.25,1.25,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_baseline_conservative_QA0p75,baseline_conservative,0.14,0.7,0.75,0.08,1.0,0.75,1.0,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_baseline_conservative_QA1p0,baseline_conservative,0.14,0.7,0.75,0.08,1.0,1.0,1.0,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_baseline_conservative_QA1p25,baseline_conservative,0.14,0.7,0.75,0.08,1.0,1.25,1.0,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_balanced_depth_supported_QA0p75,balanced_depth_supported,0.2,0.8,0.85,0.12,0.85,0.75,1.0,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_balanced_depth_supported_QA1p0,balanced_depth_supported,0.2,0.8,0.85,0.12,0.85,1.0,1.0,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_balanced_depth_supported_QA1p25,balanced_depth_supported,0.2,0.8,0.85,0.12,0.85,1.25,1.0,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_optimistic_but_capped_QA0p75,optimistic_but_capped,0.28,0.9,0.9,0.16,0.7,0.75,0.85,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_optimistic_but_capped_QA1p0,optimistic_but_capped,0.28,0.9,0.9,0.16,0.7,1.0,0.85,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
P261_FILL_optimistic_but_capped_QA1p25,optimistic_but_capped,0.28,0.9,0.9,0.16,0.7,1.25,0.85,0.35,fill_probability = capped(base_fill * queue_haircut * churn_haircut + levels_2_to_5_support_boost); unfilled quotes receive no spread capture
