metric,value,description
phase63_symbol,KOTAKBANK,Single-symbol falsification target from Phase62
phase63_months_scanned,12,KOTAKBANK monthly dense shards scanned
phase63_active_months,12,Months with at least one candidate trade
phase63_trades,155,Candidate trades generated by the exact Phase60 rule
phase63_net_pnl_inr,-24100.25762526291,After-cost net P&L using the Zerodha retail cost model
phase63_gross_pnl_proxy_inr,-3907.414634919171,Gross signal P&L proxy before costs
phase63_cost_pnl_drag_proxy_inr,20192.842990343743,Cost drag proxy including spread/slippage/impact/Zerodha charges
phase63_positive_month_fraction,0.16666666666666666,Fraction of all scanned months positive after costs
phase63_active_positive_month_fraction,0.16666666666666666,Fraction of active months positive after costs
phase63_precision_cost_clear,0.3419354838709677,Trade-weighted fraction clearing cost
phase63_survives_kotakbank_falsification,0,1 means the KOTAKBANK-only hypothesis survived
phase63_elapsed_seconds,2.3532950000007986,Elapsed seconds
phase63_zerodha_cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Zerodha retail intraday cost model
phase63_recommend_next_action,retire_phase60_candidate_family,Recommended next action
