shard_index,trade_month,trade_date,symbol,trades,sum_gross_return,sum_cost_return,sum_net_return,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_return,precision_cost_clear,worst_trade_pnl_inr,best_trade_pnl_inr,positive_after_costs
1,2026-01,2026-01-01,KOTAKBANK,19,0.04555357132625093,0.024054743201345815,0.021498828124905108,2149.8828124905112,4555.357132625093,2405.474320134582,0.0011315172697318478,0.5789473684210527,-937.5765974895488,2512.7307464469673,True
2,2026-02,2026-02-02,KOTAKBANK,11,-0.006843293331482592,0.013963891987768765,-0.020807185319251357,-2080.7185319251357,-684.3293331482591,1396.3891987768766,-0.0018915623017501234,0.18181818181818182,-453.64643330283866,161.6953586034843,False
3,2026-03,2026-03-02,KOTAKBANK,13,-0.01686267285611298,0.016507557433923542,-0.03337023029003652,-3337.0230290036525,-1686.2672856112981,1650.755743392354,-0.002566940791541271,0.3076923076923077,-571.911012851718,43.91506266614626,False
4,2026-04,2026-04-01,KOTAKBANK,29,-0.04523655775805102,0.04205313582994375,-0.08728969358799474,-8728.969358799475,-4523.655775805103,4205.313582994375,-0.003009989434068784,0.4827586206896552,-5615.03945699432,1774.333696119168,False
5,2026-05,2026-05-01,KOTAKBANK,16,0.003646056082268645,0.020287270983441366,-0.01664121490117272,-1664.1214901172718,364.6056082268643,2028.7270983441365,-0.001040075931323295,0.3125,-1213.7490229355399,1464.9129260188824,False
6,2026-06,2026-06-01,KOTAKBANK,2,-0.002380322665961332,0.002547064888653882,-0.004927387554615215,-492.73875546152146,-238.03226659613318,254.70648886538822,-0.0024636937773076075,0.0,-365.38551102882735,-127.35324443269411,False
7,2026-07,2026-07-01,KOTAKBANK,20,-0.011110594784975447,0.025447764705734732,-0.03655835949071018,-3655.835949071018,-1111.0594784975451,2544.776470573473,-0.001827917974535509,0.25,-1110.9004050373842,649.9373458377529,False
8,2026-08,2026-08-03,KOTAKBANK,12,-0.007152581079384879,0.01521998564058474,-0.02237256671996962,-2237.2566719969623,-715.2581079384878,1521.9985640584741,-0.0018643805599974682,0.25,-832.8766503856672,302.3344006240288,False
9,2026-09,2026-09-01,KOTAKBANK,3,0.0007927637835551948,0.0038074453825458062,-0.0030146815989906114,-301.4681598990611,79.2763783555195,380.74453825458056,-0.0010048938663302037,0.3333333333333333,-243.646887548745,95.5888615263814,False
10,2026-10,2026-10-01,KOTAKBANK,4,-0.0017070595228600993,0.005075739009980155,-0.006782798532840255,-678.2798532840254,-170.70595228600993,507.5739009980156,-0.0016956996332100638,0.25,-402.8486326986187,69.40742416546341,False
11,2026-11,2026-11-02,KOTAKBANK,16,-0.021584022083571686,0.02025837235317696,-0.04184239443674864,-4184.239443674865,-2158.402208357169,2025.837235317696,-0.00261514965229679,0.0625,-696.7261656602398,3.571570173383073,False
12,2026-12,2026-12-01,KOTAKBANK,10,0.02381056654113356,0.012705458486337936,0.01110510805479562,1110.5108054795624,2381.056654113356,1270.5458486337936,0.001110510805479562,0.6,-648.8923720177487,1173.1018126078386,True
