source_id,symbol,announcement_time_ist,announcement_date,market_session,diagnostic_trade_date,diagnostic_start_rule,diagnostic_real_l2_available,description,text,attachment_url,seq_id,no_lookahead_rule_applied
NSE_CORPORATE_ANNOUNCEMENTS,AXISBANK,21-Jul-2026 16:44:03,2026-07-21,post_close,2026-07-22,market_open_next_available_unseen_real_l2_day,1,ESOP/ESOS/ESPS,Axis Bank Limited has informed the Exchange regarding Allotment of 116524  Shares.,https://nsearchives.nseindia.com/corporate/AXISBANK1_21072026164341_SE21072026.pdf,106705112,1
NSE_CORPORATE_ANNOUNCEMENTS,BAJAJ-AUTO,21-Jul-2026 19:01:27,2026-07-21,post_close,2026-07-22,market_open_next_available_unseen_real_l2_day,1,Shareholders meeting,"Bajaj Auto Limited has informed the Exchange regarding summary of proceedings of the 19th Annual General Meeting held on July 21, 2026",https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21072026190115_SE_Proceedings_AGM.pdf,106705514,1
NSE_CORPORATE_ANNOUNCEMENTS,BAJAJ-AUTO,21-Jul-2026 20:34:04,2026-07-21,post_close,2026-07-22,market_open_next_available_unseen_real_l2_day,1,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Link of Recording,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21072026203347_SE_-_Q1_FY27_Recording.pdf,106705680,1
NSE_CORPORATE_ANNOUNCEMENTS,BPCL,22-Jul-2026 14:40:48,2026-07-22,regular_session,2026-07-22,first_real_tick_after_announcement,1,Outcome of Board Meeting,"Bharat Petroleum Corporation Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",https://nsearchives.nseindia.com/corporate/BPCL26_22072026143713_stexfinresults220726s.pdf,106706416,1
NSE_CORPORATE_ANNOUNCEMENTS,HCLTECH,21-Jul-2026 18:21:08,2026-07-21,post_close,2026-07-22,market_open_next_available_unseen_real_l2_day,1,Copy of Newspaper Publication,HCL Technologies Limited has informed the Exchange about Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/HCLTECH_21072026182052_Stock_Exchange_Intimation_PostAGM_NP_Ad.pdf,106705416,1
NSE_CORPORATE_ANNOUNCEMENTS,ICICIBANK,21-Jul-2026 23:20:36,2026-07-21,post_close,2026-07-22,market_open_next_available_unseen_real_l2_day,1,General Updates,"ICICI Bank Limited has informed the Exchange about Disclosure under Regulation 30 read with Para A of Schedule III and Regulation 46(2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015.",https://nsearchives.nseindia.com/corporate/ICICI2022_21072026231248_NSEBSE_21072026.pdf,106705817,1
NSE_CORPORATE_ANNOUNCEMENTS,ICICIBANK,22-Jul-2026 06:46:32,2026-07-22,pre_open_or_overnight,2026-07-22,market_open_same_day,1,Investor Presentation,ICICI Bank Limited has informed the Exchange about Investor Presentation,https://nsearchives.nseindia.com/corporate/ICICI2022_22072026064344_NSEBSE_22072026.pdf,106705946,1
NSE_CORPORATE_ANNOUNCEMENTS,INFY,21-Jul-2026 15:36:37,2026-07-21,post_close,2026-07-22,market_open_next_available_unseen_real_l2_day,1,Updates,Infosys Limited has informed the Exchange regarding 'Disclosure Under Regulation 30 Of SEBI LODR Regulations'.,https://nsearchives.nseindia.com/corporate/Infosys_21072026153557_SE_filing_Reg_30_disclosure.pdf,106704970,1
NSE_CORPORATE_ANNOUNCEMENTS,INFY,22-Jul-2026 12:20:46,2026-07-22,regular_session,2026-07-22,first_real_tick_after_announcement,1,Updates,"Infosys Limited has informed the Exchange regarding 'Hon ble Prime Minister of India Shri Narendra Modi Inaugurates Advanced Mother and Child Centre at PGIMER, Chandigarh, Supported by Infosys Foundation'.",https://nsearchives.nseindia.com/corporate/Infosys_22072026122014_PR_22072026.pdf,106706256,1
NSE_CORPORATE_ANNOUNCEMENTS,NESTLEIND,22-Jul-2026 11:11:18,2026-07-22,regular_session,2026-07-22,first_real_tick_after_announcement,1,Outcome of Board Meeting,"Nestle India Limited has submitted to the Exchange, the Unaudited Financial Results (standalone and consolidated) for the first quarter ended 30th June 2026",https://nsearchives.nseindia.com/corporate/NESTLEIND1_22072026111047_BSENSEUFRs30062026signed.pdf,106706181,1
