metric,value,description
phase469_source_event_aware_feature_repair_precommit_complete,1,Phase469 precommit completed
phase469_thesis_id,P469_SOURCE_EVENT_AWARE_FEATURE_REPAIR_PRECOMMIT,Precommit thesis
phase469_repaired_feature_count,25,Repaired feature count
phase469_repaired_l2_l5_feature_count,10,Repaired L2-L5 feature count
phase469_replaced_constant_feature_count,6,Constant features replaced
phase469_source_event_lookbacks,1;3;5,Pinned source-event lookbacks
phase469_min_varying_feature_floor,18,Phase470 variation floor
phase469_model_fit_generated,0,No model fit
phase469_strategy_pnl_generated,0,No strategy P&L
phase469_strategy_promotion_allowed,0,No promotion
phase469_paper_or_live_acceptance_allowed,0,No paper/live
phase469_deployable_profitability_claim_allowed,0,No deployable claim
phase469_phase470_allowed_next,1,Allows repaired matrix materialization only
phase469_hard_gate_pass_rows,13,Passed hard gates
phase469_hard_gate_rows,13,Hard gates
phase469_next_best_action,run_phase470_materialize_source_event_aware_l1_l5_feature_matrix_no_model_no_pnl,Recommended next action
