gate_id,passed,observed_value,required_value,severity
P469_PHASE468_COMPLETE,True,1,1,hard
P469_PHASE468_VARIATION_FAILURE_CONFIRMED,True,P468_FEATURE_VARIATION_PRESENT,P468_FEATURE_VARIATION_PRESENT,hard
P469_PHASE469_MODEL_PRECOMMIT_BLOCKED_BY_PHASE468,True,0,0,hard
P469_CONSTANT_FEATURES_REPLACED,True,,empty,hard
P469_SOURCE_EVENT_REPAIR_FEATURES_ADDED,True,11,11,hard
P469_REPAIRED_FEATURE_COUNT_GE_25,True,25,>=25,hard
P469_REPAIRED_L2_L5_FEATURE_COUNT_GE_10,True,10,>=10,hard
P469_MIN_VARYING_FEATURE_FLOOR_RAISED,True,18,>=18,hard
P469_SOURCE_EVENT_LOOKBACKS_PINNED,True,1;3;5,1;3;5,hard
P469_SAME_CONSTANT_REUSE_REJECTED,True,0,0,hard
P469_NO_MODEL_FIT,True,precommit_only,no_model_fit,hard
P469_NO_STRATEGY_PNL,True,precommit_only,no_pnl,hard
P469_NO_PAPER_LIVE_OR_CLAIM,True,promotion=0;paper=0;claim=0,all_zero,hard
