trade_date,exchange,symbol,instrument_class,raw_rows,source_files,phase1_delta_rows,inventory_rows,manifest_files,duplicate_receive_ms,stale_gap_gt_15s_count,receive_gap_negative_count,monotonic_gap_negative_count,median_receive_gap_ms,p95_receive_gap_ms,receive_ms_present_fraction,monotonic_ns_present_fraction,exchange_timestamp_present_fraction,row_count_match_phase1,row_count_match_inventory,file_count_match_manifest,timestamp_semantics_computable,lossless_compaction_computable,drop_duplicate_stale_computable,local_sequence_explicitly_available,connection_boundary_ledger_available,class_b_event_grade_now,diagnostic_status
2026-07-13,NSE,ADANIPORTS,equity,13886,1569,13886,13886,1569,372,2,0,0,1000.0,5500.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,AXISBANK,equity,18309,1569,18309,18309,1569,785,2,0,0,749.0,4913.649999999998,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,BAJAJ-AUTO,equity,25141,1569,25141,25141,1569,1172,2,0,0,741.0,4410.049999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,BANKBEES,etf,18916,1569,18916,18916,1569,352,2,0,0,1000.0,4833.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,BHARTIARTL,equity,19560,1569,19560,19560,1569,878,2,0,0,749.0,4762.399999999994,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,BPCL,equity,10684,1569,10684,10684,1569,176,2,0,0,1602.0,6081.699999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,BRITANNIA,equity,8526,1569,8526,8526,1569,117,2,0,0,2000.0,7000.799999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,CIPLA,equity,11664,1569,11664,11664,1569,219,2,0,0,1194.0,5953.9,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,DRREDDY,equity,12257,1569,12257,12257,1569,263,2,0,0,1250.0,5750.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,GOLDBEES,etf,12982,1568,12982,12982,1568,361,2,0,0,1000.0,5680.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,HCLTECH,equity,29266,1569,29266,29266,1569,1869,2,0,0,500.0,4158.799999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,HDFCBANK,equity,35959,1569,35959,35959,1569,2598,2,0,0,500.0,1250.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,HINDUNILVR,equity,12173,1569,12173,12173,1569,262,2,0,0,1001.0,5859.449999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,ICICIBANK,equity,26474,1569,26474,26474,1569,1538,2,0,0,500.0,4201.399999999998,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,INFY,equity,34511,1569,34511,34511,1569,2399,2,0,0,500.0,2627.0999999999917,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,ITBEES,etf,11481,1569,11481,11481,1569,274,2,0,0,1250.0,5993.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,ITC,equity,12379,1569,12379,12379,1569,294,2,0,0,1250.0,5750.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,JUNIORBEES,etf,17442,1568,17442,17442,1568,417,2,0,0,999.0,5021.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,KOTAKBANK,equity,14091,1569,14091,14091,1569,496,2,0,0,1000.0,5475.549999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,LT,equity,19466,1569,19466,19466,1569,874,2,0,0,749.0,4750.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,M&M,equity,25699,1569,25699,25699,1569,1284,2,0,0,501.0,4285.449999999993,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,MARUTI,equity,27645,1569,27645,27645,1569,1314,2,0,0,502.0,4139.699999999997,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,NESTLEIND,equity,12918,1569,12918,12918,1569,332,2,0,0,1000.0,5800.199999999999,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,NIFTYBEES,etf,22414,1568,22414,22414,1568,964,2,0,0,749.0,4542.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,ONGC,equity,17305,1569,17305,17305,1569,691,2,0,0,750.0,5000.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,RELIANCE,equity,26056,1569,26056,26056,1569,1567,2,0,0,500.0,4324.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,SBIN,equity,24728,1569,24728,24728,1569,1407,2,0,0,500.0,4329.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,SUNPHARMA,equity,14610,1569,14610,14610,1569,416,2,0,0,982.0,5483.999999999993,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,TCS,equity,36467,1569,36467,36467,1569,2640,2,0,0,500.0,1250.0,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
2026-07-13,NSE,TECHM,equity,19124,1569,19124,19124,1569,753,2,0,0,749.0,4856.699999999993,1.0,1.0,1.0,True,True,True,True,True,True,False,False,False,computable_diagnostics_pass_but_collector_contracts_missing
