shard_index,shard_path,trade_date,symbol,candidate_id,feature_family,candidate_role,execution_profile,trades,sum_gross_return,sum_cost_return,sum_edge_over_cost_return,sum_net_return,mean_gross_return,mean_cost_return,mean_edge_over_cost_return,mean_net_return,net_pnl_inr,worst_trade_pnl_inr,best_trade_pnl_inr,forward_horizon_events,cooldown_modulus,cost_hurdle_multiplier,total_latency_events,fixed_slippage_ticks,internal_impact_bps,zerodha_charge_bps
1,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01-01,ADANIPORTS,S55_MOM_Q995_H20_COST1P25,one_tick_momentum,deployable_cost_hurdle_test,retail_marketable_default,11,0.00016203078584930974,0.01321757291487194,-0.016359935357740617,-0.013055542129022631,1.473007144084634e-05,0.001201597537715631,-0.0014872668507036925,-0.0011868674662747847,-1305.554212902263,-120.80292232956866,-103.88427858493867,20,25,1.25,2,1.0,0.5,8.26812
1,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,2026-01-01,ADANIPORTS,S55_ORACLE_H20_COST_CEILING,oracle_forward_return,nondeployable_cost_ceiling,retail_marketable_default,53,0.17780894629870547,0.06369874367831396,0.09818551670081299,0.11411020262039154,0.003354885779220858,0.0012018630882700747,0.001852556918883264,0.0021530226909507837,11411.020262039148,-120.80292232956866,2628.3000310240086,20,25,1.25,2,1.0,0.5,8.26812
2,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01-01,AXISBANK,S55_MOM_Q995_H20_COST1P25,one_tick_momentum,deployable_cost_hurdle_test,retail_marketable_default,14,-0.0008958323051685424,0.015399125156512858,-0.014778453943868711,-0.0162949574616814,-6.398802179775303e-05,0.0010999375111794898,-0.0010556038531334795,-0.001163925532977243,-1629.4957461681397,-258.9905996722778,-20.65707131368535,20,25,1.25,2,1.0,0.5,8.26812
2,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,2026-01-01,AXISBANK,S55_ORACLE_H20_COST_CEILING,oracle_forward_return,nondeployable_cost_ceiling,retail_marketable_default,52,0.15918511699847904,0.05717933458783716,0.08771094876368261,0.10200578241064188,0.0030612522499707507,0.0010996025882276377,0.001686749014686204,0.001961649661743113,10200.57824106419,-110.46716384627588,856.2019944546778,20,25,1.25,2,1.0,0.5,8.26812
3,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01-01,BAJAJ-AUTO,S55_MOM_Q995_H20_COST1P25,one_tick_momentum,deployable_cost_hurdle_test,retail_marketable_default,14,0.0016953665265355689,0.01830561515702191,-0.013797017103043142,-0.016610248630486338,0.00012109760903825492,0.0013075439397872792,-0.0009855012216459388,-0.0011864463307490242,-1661.0248630486337,-500.34914625719847,182.02934279245918,20,25,1.25,2,1.0,0.5,8.26812
3,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,2026-01-01,BAJAJ-AUTO,S55_ORACLE_H20_COST_CEILING,oracle_forward_return,nondeployable_cost_ceiling,retail_marketable_default,48,0.18131593746149854,0.06276089672324829,0.10286481655743816,0.11855504073825023,0.0037774153637812197,0.0013075186817343395,0.002143017011613295,0.0024698966820468795,11855.504073825025,-130.9421113631994,2164.571052252242,20,25,1.25,2,1.0,0.5,8.26812
4,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01-01,BANKBEES,S55_MOM_Q995_H20_COST1P25,one_tick_momentum,deployable_cost_hurdle_test,retail_marketable_default,26,-0.001841511817424757,0.03628318608110366,-0.041069714369257444,-0.03812469789852842,-7.082737759325989e-05,0.0013955071569655255,-0.001579604398817594,-0.0014663345345587854,-3812.4697898528416,-322.15261094201117,-63.76209605912183,20,25,1.25,2,1.0,0.5,8.26812
4,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,2026-01-01,BANKBEES,S55_ORACLE_H20_COST_CEILING,oracle_forward_return,nondeployable_cost_ceiling,retail_marketable_default,25,0.05859411985623153,0.03491163882975766,0.014954571319034455,0.023682481026473873,0.0023437647942492613,0.0013964655531903064,0.0005981828527613782,0.0009472992410589549,2368.2481026473874,-140.2697240154351,465.5292343237706,20,25,1.25,2,1.0,0.5,8.26812
5,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01-01,BHARTIARTL,S55_MOM_Q995_H20_COST1P25,one_tick_momentum,deployable_cost_hurdle_test,retail_marketable_default,15,-0.0019140210398440605,0.016641266143536153,-0.014542626272544176,-0.018555287183380214,-0.00012760140265627069,0.0011094177429024103,-0.0009695084181696117,-0.001237019145558681,-1855.5287183380212,-519.6075397475458,18.497906023735073,20,25,1.25,2,1.0,0.5,8.26812
5,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,2026-01-01,BHARTIARTL,S55_ORACLE_H20_COST_CEILING,oracle_forward_return,nondeployable_cost_ceiling,retail_marketable_default,52,0.11352233932016254,0.05768431327425464,0.041416947727344215,0.055838026045907894,0.0021831219100031255,0.0011093137168125893,0.0007964797639873888,0.0010738081931905364,5583.802604590789,-111.34672721537066,493.56395629035063,20,25,1.25,2,1.0,0.5,8.26812
