scenario_grid_id,cancel_latency_ms,decide_latency_ms,move_threshold_spread_fraction,jitter_seed,jitter_distribution,maker_rebate_assumed,cost_multiplier
P407_C150_D10_M0p25_J40720260817,150,10,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D10_M0p5_J40720260817,150,10,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D10_M0p75_J40720260817,150,10,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D20_M0p25_J40720260817,150,20,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D20_M0p5_J40720260817,150,20,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D20_M0p75_J40720260817,150,20,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D50_M0p25_J40720260817,150,50,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D50_M0p5_J40720260817,150,50,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C150_D50_M0p75_J40720260817,150,50,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D10_M0p25_J40720260817,250,10,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D10_M0p5_J40720260817,250,10,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D10_M0p75_J40720260817,250,10,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D20_M0p25_J40720260817,250,20,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D20_M0p5_J40720260817,250,20,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D20_M0p75_J40720260817,250,20,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D50_M0p25_J40720260817,250,50,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D50_M0p5_J40720260817,250,50,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C250_D50_M0p75_J40720260817,250,50,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D10_M0p25_J40720260817,400,10,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D10_M0p5_J40720260817,400,10,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D10_M0p75_J40720260817,400,10,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D20_M0p25_J40720260817,400,20,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D20_M0p5_J40720260817,400,20,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D20_M0p75_J40720260817,400,20,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D50_M0p25_J40720260817,400,50,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D50_M0p5_J40720260817,400,50,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C400_D50_M0p75_J40720260817,400,50,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D10_M0p25_J40720260817,700,10,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D10_M0p5_J40720260817,700,10,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D10_M0p75_J40720260817,700,10,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D20_M0p25_J40720260817,700,20,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D20_M0p5_J40720260817,700,20,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D20_M0p75_J40720260817,700,20,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D50_M0p25_J40720260817,700,50,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D50_M0p5_J40720260817,700,50,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C700_D50_M0p75_J40720260817,700,50,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D10_M0p25_J40720260817,1000,10,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D10_M0p5_J40720260817,1000,10,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D10_M0p75_J40720260817,1000,10,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D20_M0p25_J40720260817,1000,20,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D20_M0p5_J40720260817,1000,20,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D20_M0p75_J40720260817,1000,20,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D50_M0p25_J40720260817,1000,50,0.25,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D50_M0p5_J40720260817,1000,50,0.5,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
P407_C1000_D50_M0p75_J40720260817,1000,50,0.75,40720260817,stable_truncated_lognormal_rtt_variance_proxy,0,2.0
