gate_id,requirement,severity,phase407_precommitted
MM_INPUTS_VALIDATED,all five inputs present and schema checked,hard,1
MM_TICK_LOOP_PRESENT,per-tick loop over resting quote window,hard,1
MM_CANCEL_RACE_APPLIED,cancel-attempted cancel-succeeded cancel-lost-race counts logged,hard,1
MM_LATENCY_HONEST,cancel_latency_ms >= 150 in every scenario,hard,1
MM_NO_REBATE_ASSUMED,"full Zerodha charges, no maker rebate",hard,1
MM_TWO_SIDED_REQUIRED,bid and ask live simultaneously,hard,1
MM_FULL_DEPTH_L2_L5,at least one signal from levels 2-5,hard,1
MM_NO_LOOKAHEAD,feature timestamps precede quote-post timestamps and loop is time ordered,hard,1
MM_COST200_SCORING,"cost_multiplier=2, fixed capital, per-side notional <= 100000",hard,1
MM_EVENT_FLOOR,at least 30 completed round trips,hard,1
MM_DATE_BREADTH,at least 5 trade dates with round trips,hard,1
MM_SYMBOL_BREADTH,at least 3 symbols with round trips,hard,1
MM_POSITIVE_DATE_FRACTION,at least 60 percent positive round-trip dates,hard,1
MM_ANNUALIZED_FLOOR,fixed-capital annualized return >= 12 percent at cost200,hard,1
MM_NO_RANK_REVERSAL,best cost200 scenario remains top quartile at cost100,hard,1
MM_LATENCY_MONOTONICITY,net PnL decreases as cancel latency increases for winner,hard,1
MM_REAL_ANCHOR_CROSS_CHECK,winning scenario sign preserved on reserved real anchor day,hard,1
MM_BOUNDARIES_CLOSED,replay=0 promotion=0 paper_live=0 claim=0,hard,1
