horizon_sec,trade_date,exchange,symbol,split_role,feature_file_exists,label_file_exists,event_only_joined_rows,test_rows_used
1,2026-07-08,NSE,ADANIPORTS,train,1,1,0,0
1,2026-07-08,NSE,AXISBANK,train,1,1,0,0
1,2026-07-08,NSE,BAJAJ-AUTO,train,1,1,0,0
1,2026-07-08,NSE,BANKBEES,train,1,1,0,0
1,2026-07-08,NSE,BHARTIARTL,train,1,1,0,0
1,2026-07-08,NSE,BPCL,train,1,1,0,0
1,2026-07-08,NSE,BRITANNIA,train,1,1,0,0
1,2026-07-08,NSE,CIPLA,train,1,1,0,0
1,2026-07-08,NSE,DRREDDY,train,1,1,0,0
1,2026-07-08,NSE,GOLDBEES,train,1,1,0,0
1,2026-07-08,NSE,HCLTECH,train,1,1,0,0
1,2026-07-08,NSE,HDFCBANK,train,1,1,0,0
1,2026-07-08,NSE,HINDUNILVR,train,1,1,0,0
1,2026-07-08,NSE,ICICIBANK,train,1,1,0,0
1,2026-07-08,NSE,INFY,train,1,1,0,0
1,2026-07-08,NSE,ITBEES,train,1,1,0,0
1,2026-07-08,NSE,ITC,train,1,1,0,0
1,2026-07-08,NSE,JUNIORBEES,train,1,1,0,0
1,2026-07-08,NSE,KOTAKBANK,train,1,1,0,0
1,2026-07-08,NSE,LT,train,1,1,0,0
1,2026-07-08,NSE,M&M,train,1,1,0,0
1,2026-07-08,NSE,MARUTI,train,1,1,0,0
1,2026-07-08,NSE,NESTLEIND,train,1,1,0,0
1,2026-07-08,NSE,NIFTYBEES,train,1,1,0,0
1,2026-07-08,NSE,ONGC,train,1,1,0,0
1,2026-07-08,NSE,RELIANCE,train,1,1,0,0
1,2026-07-08,NSE,SBIN,train,1,1,0,0
1,2026-07-08,NSE,SUNPHARMA,train,1,1,0,0
1,2026-07-08,NSE,TCS,train,1,1,0,0
1,2026-07-08,NSE,TECHM,train,1,1,0,0
1,2026-07-08,NSE,ULTRACEMCO,train,1,1,0,0
1,2026-07-08,NSE,WIPRO,train,1,1,0,0
1,2026-07-09,NSE,ADANIPORTS,train,1,1,509,0
1,2026-07-09,NSE,AXISBANK,train,1,1,529,0
1,2026-07-09,NSE,BAJAJ-AUTO,train,1,1,328,0
1,2026-07-09,NSE,BANKBEES,train,1,1,855,0
1,2026-07-09,NSE,BHARTIARTL,train,1,1,960,0
1,2026-07-09,NSE,BPCL,train,1,1,365,0
1,2026-07-09,NSE,BRITANNIA,train,1,1,909,0
1,2026-07-09,NSE,CIPLA,train,1,1,421,0
1,2026-07-09,NSE,DRREDDY,train,1,1,5218,0
1,2026-07-09,NSE,GOLDBEES,train,1,1,590,0
1,2026-07-09,NSE,HCLTECH,train,1,1,1575,0
