phase219_control_id,phase219_model_fit_id,control_type,validation_rows,validation_mse,validation_binary_accuracy,test_rows_used,strategy_replay_allowed
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H1s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H1s,event_only_base_rate,31457,0.15598116054901634,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H1s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_down_conditional_label_H1s,event_time_shuffle,31457,0.1568188324998425,0.8066249165527546,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_only_base_rate,31457,0.15598116054901634,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_time_shuffle,31457,0.1568080791439596,0.8066249165527546,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_only_base_rate,31457,0.15598116054901634,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_down_conditional_label_H1s,event_time_shuffle,31457,0.15655168425928506,0.8066249165527546,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H1s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H1s,event_only_base_rate,31457,0.1506639173338112,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H1s,P219_P218_EVENT_ONLY_BALANCED_LOGIT_event_surprise_up_conditional_label_H1s,event_time_shuffle,31457,0.15057632817251676,0.8151762723718091,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,event_only_base_rate,31457,0.1506639173338112,,0,0
P219_SHUFFLED_P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,P219_P218_EVENT_ONLY_COMPLEMENT_NB_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,event_time_shuffle,31457,0.1505942250223464,0.8151762723718091,0,0
P219_BASE_RATE_P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_up_conditional_label_H1s,event_only_base_rate,31457,0.1506639173338112,,0,0
