phase283_variant_id,ensemble_family_id,ensemble_family,bucket_id,bucket_rule,vote_threshold,seed_ids,included_target_families,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,max_annualized_pct,median_annualized_pct,min_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_notional_turnover_x_initial_capital,best_avg_open_notional_utilization,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,near_miss_under_12,too_sparse_for_portfolio_claim,full_depth_positive_clue,same_route_exhausted_for_acceptance
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_P282_DEPTH_STABLE_BUCKET,P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE,adverse_avoid_net_label_ensemble,P282_DEPTH_STABLE_BUCKET,churn<=q50 and withdrawal<=q50 and beyond_l1_imbalance>=q50,1,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;net_edge_distribution_shift;spread_cost_margin,6,199,3,0,0,0,11.28247573982665,7.554332024414504,5.641237869913325,358.17383301036983,P271_P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V1_P282_DEPTH_STABLE_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9899497487437184,1,1,0,0,1,1,1,1
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_ALL_EVENTS,P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE,adverse_avoid_net_label_ensemble,ALL_EVENTS,all eligible ensemble events,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;net_edge_distribution_shift;spread_cost_margin,6,121,3,0,0,0,11.28247573982665,7.7784000535764655,5.641237869913325,358.17383301036983,P271_P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_ALL_EVENTS_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9834710743801652,1,1,0,0,1,1,1,1
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET,P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE,adverse_avoid_net_label_ensemble,P282_DEPTH_STABLE_BUCKET,churn<=q50 and withdrawal<=q50 and beyond_l1_imbalance>=q50,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;net_edge_distribution_shift;spread_cost_margin,6,63,3,0,0,0,11.28247573982665,7.554332024414504,5.641237869913325,358.17383301036983,P271_P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9682539682539684,1,1,0,0,1,1,1,1
P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET,P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE,adverse_avoid_net_label_ensemble,P282_SPREAD_COMPRESSED_BUCKET,avg_spread_bps<=q50,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;net_edge_distribution_shift;spread_cost_margin,6,121,3,0,0,0,11.28247573982665,7.7784000535764655,5.641237869913325,358.17383301036983,P271_P283_P282_ADVERSE_AVOID_NET_LABEL_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9834710743801652,1,1,0,0,1,1,1,1
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_ALL_EVENTS,P282_FAMILY_VOTE_ENSEMBLE,family_vote_ensemble,ALL_EVENTS,all eligible ensemble events,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_TIME_TO_EXIT_SHORT_HQ90;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50;P280_TIME_TO_EXIT_SHORT_HQ70;P280_TIME_TO_EXIT_SHORT_HQ80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;depth_replenishment_confirmation;net_edge_distribution_shift;spread_cost_margin;time_to_exit,6,317,3,0,0,0,11.28247573982665,7.72063152420943,5.641237869913325,358.17383301036983,P271_P283_P282_FAMILY_VOTE_ENSEMBLE_V2_ALL_EVENTS_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9936908517350158,1,1,0,0,1,1,1,1
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET,P282_FAMILY_VOTE_ENSEMBLE,family_vote_ensemble,P282_DEPTH_STABLE_BUCKET,churn<=q50 and withdrawal<=q50 and beyond_l1_imbalance>=q50,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_TIME_TO_EXIT_SHORT_HQ90;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50;P280_TIME_TO_EXIT_SHORT_HQ70;P280_TIME_TO_EXIT_SHORT_HQ80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;depth_replenishment_confirmation;net_edge_distribution_shift;spread_cost_margin;time_to_exit,6,143,3,0,0,0,11.28247573982665,7.554332024414504,5.641237869913325,358.17383301036983,P271_P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_DEPTH_STABLE_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.986013986013986,1,1,0,0,1,1,1,1
P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET,P282_FAMILY_VOTE_ENSEMBLE,family_vote_ensemble,P282_SPREAD_COMPRESSED_BUCKET,avg_spread_bps<=q50,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_TIME_TO_EXIT_SHORT_HQ90;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50;P280_TIME_TO_EXIT_SHORT_HQ70;P280_TIME_TO_EXIT_SHORT_HQ80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;depth_replenishment_confirmation;net_edge_distribution_shift;spread_cost_margin;time_to_exit,6,304,3,0,0,0,11.28247573982665,7.72063152420943,5.641237869913325,358.17383301036983,P271_P283_P282_FAMILY_VOTE_ENSEMBLE_V2_P282_SPREAD_COMPRESSED_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.993421052631579,1,1,0,0,1,1,1,1
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_ALL_EVENTS,P282_FAMILY_VOTE_ENSEMBLE,family_vote_ensemble,ALL_EVENTS,all eligible ensemble events,3,P280_SPREAD_REPLENISH_COMBO_Q70;P280_TIME_TO_EXIT_SHORT_HQ90;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50;P280_TIME_TO_EXIT_SHORT_HQ70;P280_TIME_TO_EXIT_SHORT_HQ80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;depth_replenishment_confirmation;net_edge_distribution_shift;spread_cost_margin;time_to_exit,6,121,3,0,0,0,11.28247573982665,7.7784000535764655,5.641237869913325,358.17383301036983,P271_P283_P282_FAMILY_VOTE_ENSEMBLE_V3_ALL_EVENTS_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9834710743801652,1,1,0,0,1,1,1,1
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_DEPTH_STABLE_BUCKET,P282_FAMILY_VOTE_ENSEMBLE,family_vote_ensemble,P282_DEPTH_STABLE_BUCKET,churn<=q50 and withdrawal<=q50 and beyond_l1_imbalance>=q50,3,P280_SPREAD_REPLENISH_COMBO_Q70;P280_TIME_TO_EXIT_SHORT_HQ90;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50;P280_TIME_TO_EXIT_SHORT_HQ70;P280_TIME_TO_EXIT_SHORT_HQ80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;depth_replenishment_confirmation;net_edge_distribution_shift;spread_cost_margin;time_to_exit,6,63,3,0,0,0,11.28247573982665,7.554332024414504,5.641237869913325,358.17383301036983,P271_P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_DEPTH_STABLE_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9682539682539684,1,1,0,0,1,1,1,1
P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_SPREAD_COMPRESSED_BUCKET,P282_FAMILY_VOTE_ENSEMBLE,family_vote_ensemble,P282_SPREAD_COMPRESSED_BUCKET,avg_spread_bps<=q50,3,P280_SPREAD_REPLENISH_COMBO_Q70;P280_TIME_TO_EXIT_SHORT_HQ90;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50;P280_TIME_TO_EXIT_SHORT_HQ70;P280_TIME_TO_EXIT_SHORT_HQ80;P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,adverse_selection_avoidance;depth_replenishment_confirmation;net_edge_distribution_shift;spread_cost_margin;time_to_exit,6,121,3,0,0,0,11.28247573982665,7.7784000535764655,5.641237869913325,358.17383301036983,P271_P283_P282_FAMILY_VOTE_ENSEMBLE_V3_P282_SPREAD_COMPRESSED_BUCKET_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9834710743801652,1,1,0,0,1,1,1,1
P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,ALL_EVENTS,all eligible ensemble events,2,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,6,154,3,0,0,0,11.28247573982665,7.7784000535764655,5.641237869913325,358.17383301036983,P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V2_ALL_EVENTS_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.987012987012987,1,1,0,0,1,1,1,1
