trade_date,exchange,symbol,relative_file,share,file_path_redacted
2026-07-27,NSE,ADANIPORTS,part-034500_825556-000001.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034515_783464-000033.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034530_282860-000065.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034544_527153-000097.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034558_536048-000129.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034612_775843-000161.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034627_278087-000193.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034641_525416-000225.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034656_025698-000257.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034710_023629-000289.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034724_025823-000321.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034738_275297-000353.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034752_272637-000385.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034806_523088-000417.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034821_025869-000449.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034835_523907-000481.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034849_775003-000513.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034904_273795-000545.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034918_776395-000577.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034933_023264-000609.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-034947_530413-000641.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035002_276178-000673.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035016_526356-000705.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035030_526512-000737.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035044_774968-000769.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035059_025433-000801.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035113_275560-000833.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035127_775566-000865.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035142_025011-000897.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035156_028355-000929.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035210_277966-000961.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035224_525448-000993.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035238_775915-001025.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035253_025802-001057.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035307_277179-001089.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035321_526434-001121.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035336_029524-001153.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035350_528941-001185.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035404_795500-001217.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035419_027298-001249.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035433_028490-001281.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035447_276611-001313.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035502_528233-001345.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035516_829239-001377.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035531_276913-001409.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035545_774693-001441.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035559_777677-001473.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035614_776319-001505.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035629_029188-001537.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035643_528316-001569.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035657_776294-001601.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035712_029408-001633.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035726_484789-001665.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035740_778226-001697.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035755_026873-001729.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035809_276288-001761.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035823_776388-001793.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035838_028340-001825.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035852_528955-001857.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035906_775458-001889.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035921_276783-001921.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035935_779868-001953.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-035950_029790-001985.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-040004_490225-002017.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-040019_031690-002049.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
2026-07-27,NSE,ADANIPORTS,part-040033_276869-002081.parquet,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ADANIPORTS/part-REDACTED.parquet
