trade_date,exchange,symbol,share,file_path_redacted,local_path,status,bytes_written,secret_material_recorded
2026-07-27,NSE,BPCL,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=BPCL/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=BPCL\part-041243_861273-003718.parquet,existing,34608,0
2026-07-27,NSE,BAJAJ-AUTO,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=BAJAJ-AUTO/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=BAJAJ-AUTO\part-034738_509304-000355.parquet,existing,35966,0
2026-07-27,NSE,ITBEES,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ITBEES/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=ITBEES\part-040245_475097-002384.parquet,existing,34455,0
2026-07-27,NSE,KOTAKBANK,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=KOTAKBANK/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=KOTAKBANK\part-034837_864133-000499.parquet,existing,34481,0
2026-07-27,NSE,ITC,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ITC/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=ITC\part-042213_531629-005009.parquet,existing,35983,0
2026-07-27,NSE,INFY,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=INFY/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=INFY\part-035406_616104-001231.parquet,existing,36535,0
2026-07-27,NSE,HCLTECH,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=HCLTECH/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=HCLTECH\part-042353_091563-005227.parquet,existing,34695,0
2026-07-27,NSE,DRREDDY,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=DRREDDY/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=DRREDDY\part-042324_074944-005161.parquet,existing,34634,0
2026-07-27,NSE,M&M,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=M&M/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=M&M\part-035047_303666-000789.parquet,existing,36047,0
2026-07-27,NSE,HINDUNILVR,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=HINDUNILVR/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=HINDUNILVR\part-034643_219849-000237.parquet,existing,36458,0
2026-07-27,NSE,BPCL,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=BPCL/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=BPCL\part-041228_648480-003686.parquet,existing,34463,0
2026-07-27,NSE,BAJAJ-AUTO,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=BAJAJ-AUTO/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=BAJAJ-AUTO\part-034724_268848-000323.parquet,existing,35773,0
2026-07-27,NSE,ITBEES,ctrade1-l2-data,raw_l2/trade_date=2026-07-27/exchange=NSE/symbol=ITBEES/part-REDACTED.parquet,real_data_sample\l2_unseen_validation\trade_date=2026-07-27\exchange=NSE\symbol=ITBEES\part-040231_126704-002352.parquet,existing,34367,0
