gate_id,passed,observed_value,required_value,severity
P454_PHASE453_AVAILABLE,True,1,1,hard
P454_REPAIR_NEXT_ACTION_MATCHED,True,precommit_phase454_contiguous_tick_window_cross_asset_etf_pressure_no_results,contiguous_repair,hard
P454_SOURCE_NOT_CLOSED,True,0,0,hard
P454_STRIDE_CONTRACT_CLOSED,True,1,1,hard
P454_CONTIGUOUS_WINDOW_FROZEN,True,271,>=261,hard
P454_SELECTED_FILES_PRESENT,True,60,60,hard
P454_NO_SIGNAL_OR_SIDE_CHANGE,True,unchanged_from_phase451_cross_asset_etf_pressure,unchanged,hard
P454_LOW_TURNOVER_CAP_RETAINED,True,1,1,hard
P454_COST200_FIXED_CAPITAL,True,fixed_initial_capital_1000000_inr_order_notional_100000_inr_cost200,cost200_fixed_capital,hard
P454_RESULTS_NOT_GENERATED,True,0,0,hard
P454_BOUNDARIES_CLOSED,True,threshold_relaxation;side_rule_change;source_universe_change;catalyst_rescue;market_maker_rescue;promotion;paper_live;deployable_profitability_claim,closed,hard
