shard_index,trade_date,symbol,strategy_id,candidate_orders,inferred_touch_orders,gross_return_on_touches,mean_gross_return_on_touch,mean_spread_bps,mean_abs_l1_imbalance,touch_win_rate,queue_profile,fill_weight,adverse_selection_bps,zerodha_roundtrip_bps,expected_fills,expected_gross_pnl_inr,expected_cost_pnl_drag_inr,expected_net_pnl_inr,queue_profile_description,positive_after_costs
4,2026-01-01,BANKBEES,P65_JOIN_IMBALANCE,243948,4516,-7.277426032885261,-0.0016114760923129452,3.458606426097618,0.3282948672550108,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,451.6,-72774.26032885262,59918.82992,-132693.09024885262,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
4,2026-01-01,BANKBEES,P65_FADE_IMBALANCE,243948,7000,-8.239620767398588,-0.001177088681056941,3.4586064260976817,0.3282948672550075,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,700.0,-82396.20767398587,92876.84,-175273.0476739859,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
8,2026-01-01,CIPLA,P65_JOIN_IMBALANCE,247916,5116,-12.14569728230182,-0.002374061235790035,2.7495395591199228,0.5689112394236892,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,511.6,-121456.9728230182,67879.70191999999,-189336.67474301817,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
8,2026-01-01,CIPLA,P65_FADE_IMBALANCE,247916,7200,-14.200135015110746,-0.001972240974320937,2.7495395591201204,0.5689112394236634,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,720.0,-142001.35015110747,95530.46399999999,-237531.81415110745,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
11,2026-01-01,HCLTECH,P65_JOIN_IMBALANCE,55468,1500,-4.274424616754457,-0.002849616411169638,2.4106353661008306,0.30314541901432385,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,150.0,-42744.246167544574,19902.18,-62646.426167544574,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
11,2026-01-01,HCLTECH,P65_FADE_IMBALANCE,55468,1216,-3.252447685007184,-0.0026747102672756446,2.410635366100881,0.30314541901432407,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,121.60000000000001,-32524.476850071842,16134.03392,-48658.51077007184,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
12,2026-01-01,HDFCBANK,P65_JOIN_IMBALANCE,236012,7000,-15.779052116167348,-0.0022541503023096213,1.1974263956253648,0.5711840326370689,0.02857142857142857,pessimistic_back_of_queue,0.1,5.0,8.26812,700.0,-157790.52116167347,92876.84,-250667.36116167347,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
12,2026-01-01,HDFCBANK,P65_FADE_IMBALANCE,236012,4816,-12.928132378549964,-0.0026844128693002418,1.1974263956253444,0.571184032637135,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,481.6,-129281.32378549966,63899.26592,-193180.58970549965,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
14,2026-01-01,ICICIBANK,P65_JOIN_IMBALANCE,249900,7400,-14.666844141415169,-0.001982005965056104,1.393620327183918,0.36767804117718994,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,740.0,-146668.4414141517,98184.08799999999,-244852.52941415168,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
14,2026-01-01,ICICIBANK,P65_FADE_IMBALANCE,249900,5116,-12.262792052228127,-0.0023969491892549114,1.3936203271839454,0.3676780411771539,0.0,pessimistic_back_of_queue,0.1,5.0,8.26812,511.6,-122627.92052228127,67879.70191999999,-190507.62244228128,Assume only 10% of inferred touches fill and filled orders suffer 5 bps adverse selection.,False
