gate_id,passed,observed_value,required_value,severity
P460_PHASE459_AVAILABLE,True,1,1,hard
P460_NEXT_ACTION_MATCHED,True,precommit_actual_move_candidate_label_source_or_pause_synthetic_fixed_window_routes,actual_move_candidate_label_source,hard
P460_DENSE_ROOT_PRESENT,True,1,1,hard
P460_SELECTED_FILES_PRESENT,True,21,21,hard
P460_MULTIPLE_OFFSETS_FROZEN,True,5,>=3,hard
P460_LABEL_SOURCE_NOT_TRADABLE_SIGNAL,True,strategy_pnl;paper_live;deployable_profitability_claim;future_label_as_signal;threshold_tuning_after_label_result,future_label_as_signal_forbidden,hard
P460_PAST_ONLY_FEATURES_PRECOMMITTED,True,past_only_L1_L5_spread_imbalance_depth_shape_churn_and_recent_mid_return,past_only,hard
P460_NO_PNL_OUTPUTS,True,label_ledger;feature_label_summary;gate_evaluation;manifest;report,no_strategy_pnl,hard
P460_RESULTS_NOT_GENERATED,True,0,0,hard
P460_BOUNDARIES_CLOSED,True,strategy_pnl;paper_live;deployable_profitability_claim;future_label_as_signal;threshold_tuning_after_label_result,closed,hard
