metric,value,description
phase453_cross_asset_interpretation_complete,1,Phase453 interpretation completed
phase453_thesis_id,P453_CROSS_ASSET_ETF_PRESSURE_INTERPRETATION,Interpretation thesis
phase453_selected_verdict,P453_CROSS_ASSET_ETF_PRESSURE_EXECUTION_ACCESS_REPAIR_REQUIRED,Selected verdict
phase453_cross_asset_source_closed,0,Source remains eligible only under repaired access contract
phase453_stride_contract_closed,1,Sparse stride/horizon contract closed
phase453_execution_results_generated,0,Interpretation only
phase453_strategy_promotion_allowed,0,No promotion
phase453_paper_or_live_acceptance_allowed,0,No paper/live
phase453_deployable_profitability_claim_allowed,0,No deployable claim
phase453_hard_gate_pass_rows,7,Passed hard gates
phase453_hard_gate_rows,7,Hard gates
phase453_next_best_action,precommit_phase454_contiguous_tick_window_cross_asset_etf_pressure_no_results,Recommended next action
