phase288_variant_id,liquidity_family_id,liquidity_family,selection_rule,pressure_column,pressure_threshold_quantile,pressure_threshold_value,side_mode,side_rule,side_multiplier,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator,strategy_replay_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,ORIG,original synthetic edge side,1,3,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,ORIG,original synthetic edge side,1,5,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,ORIG,original synthetic edge side,1,8,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,ORIG,original synthetic edge side,1,10,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_INV_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,INV,inverse/reversal side,-1,3,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_INV_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,INV,inverse/reversal side,-1,5,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_INV_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,INV,inverse/reversal side,-1,8,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q50_INV_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.5,0.6178536449989604,INV,inverse/reversal side,-1,10,111,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,ORIG,original synthetic edge side,1,3,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,ORIG,original synthetic edge side,1,5,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,ORIG,original synthetic edge side,1,8,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,ORIG,original synthetic edge side,1,10,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_INV_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,INV,inverse/reversal side,-1,3,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_INV_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,INV,inverse/reversal side,-1,5,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_INV_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,INV,inverse/reversal side,-1,8,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q60_INV_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.6,0.621877251858817,INV,inverse/reversal side,-1,10,89,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,ORIG,original synthetic edge side,1,3,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,ORIG,original synthetic edge side,1,5,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,ORIG,original synthetic edge side,1,8,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H10,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,ORIG,original synthetic edge side,1,10,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_INV_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,INV,inverse/reversal side,-1,3,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_INV_H5,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,INV,inverse/reversal side,-1,5,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
P288_P288_PRESSURE_CONTINUATION_Q70_INV_H8,P288_PRESSURE_CONTINUATION,pressure_continuation,beyond-L1 and consensus imbalance high with spread not in the worst quartile,abs_consensus_imbalance,0.7,0.627778989884071,INV,inverse/reversal side,-1,8,67,3,8,1,1,0,0,fixed_initial_capital,0,0,0
