scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase288_variant_id,liquidity_family_id,liquidity_family,pressure_column,pressure_threshold_quantile,side_mode,exit_horizon_ticks,selected_event_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT25000_CONC1_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,25000.0,1,cost200,2.0,0.0,111,4,107,6,101,0,1,1,3,2,8,-53.27770051900935,-0.05327770051900935,-1.6782475663487944,1,0,100000.0,1.0,0.240990990990991,-61.28398210650481,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT25000_CONC2_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,25000.0,2,cost200,2.0,0.0,111,6,105,15,90,0,1,1,3,2,8,-100.7020796400057,-0.1007020796400057,-3.1721155086601796,1,0,150000.0,1.5,0.46846846846846846,-100.7020796400057,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT25000_CONC4_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,25000.0,4,cost200,2.0,0.0,111,12,99,22,77,0,1,1,3,2,8,-184.65031375284397,-0.184650313752844,-5.816484883214586,1,0,300000.0,3.0,0.8378378378378378,-184.65031375284397,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,1,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT50000_CONC1_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,50000.0,1,cost200,2.0,0.0,111,4,107,6,101,0,1,1,3,2,8,-106.5554010380187,-0.1065554010380187,-3.3564951326975887,1,0,200000.0,2.0,0.481981981981982,-122.56796421300962,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT50000_CONC2_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,50000.0,2,cost200,2.0,0.0,111,6,105,15,90,0,1,1,3,2,8,-201.4041592800114,-0.2014041592800114,-6.344231017320359,1,0,300000.0,3.0,0.9369369369369369,-201.4041592800114,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT50000_CONC4_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,50000.0,4,cost200,2.0,0.0,111,12,99,22,77,0,1,1,3,2,8,-184.65031375284397,-0.184650313752844,-5.816484883214586,1,0,300000.0,3.0,0.8378378378378378,-184.65031375284397,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,1,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT75000_CONC1_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,75000.0,1,cost200,2.0,0.0,111,4,107,6,101,0,1,1,3,2,8,-159.83310155702804,-0.15983310155702804,-5.034742699046383,1,0,300000.0,3.0,0.722972972972973,-183.8519463195144,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT75000_CONC2_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,75000.0,2,cost200,2.0,0.0,111,6,105,15,90,0,1,1,3,2,8,-201.4041592800114,-0.2014041592800114,-6.344231017320359,1,0,300000.0,3.0,0.9369369369369369,-201.4041592800114,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT75000_CONC4_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,75000.0,4,cost200,2.0,0.0,111,12,99,22,77,0,1,1,3,2,8,-184.65031375284397,-0.184650313752844,-5.816484883214586,1,0,300000.0,3.0,0.8378378378378378,-184.65031375284397,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,1,0,0,0
P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3_CAP100000_NOT100000_CONC1_COST200,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,100000.0,100000.0,1,cost200,2.0,0.0,111,4,107,6,101,0,1,1,3,2,8,-213.1108020760374,-0.2131108020760374,-6.712990265395177,1,0,400000.0,4.0,0.963963963963964,-245.13592842601923,1,0,0,0,0,P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H3,P288_PRESSURE_CONTINUATION,pressure_continuation,abs_consensus_imbalance,0.5,ORIG,3,111,1,1,0,0,0,0,0,0
