metric,value,description
phase332_best_scenario_id,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_base,Best scenario by annualized return
phase332_best_family_id,P331_DEPTH_ACCEL_REVERSAL,Best scenario family
phase332_best_execution_policy,taker_entry_taker_exit,Best scenario execution policy
phase332_best_cost_profile,zerodha_base,Best scenario cost profile
phase332_best_event_bucket_policy,all_events,Best event bucket policy
phase332_best_annualized_return_pct,30.5361528844332,Best annualized fixed-capital research metric
phase332_best_net_pnl_inr,4847.008394354476,Best net P&L
phase332_best_scheduled_event_rows,40,Best scheduled event rows
phase332_cost200_above12_scenario_rows,0,2x cost scenarios above 12% annualized
phase332_cost200_acceptance_grade_candidate_rows,0,2x cost scenarios meeting event/date/symbol floor
phase332_best_cost200_scenario_id,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,Best 2x-cost scenario id
phase332_best_cost200_annualized_return_pct,11.517554062957867,Best 2x-cost annualized return
phase332_best_cost200_scheduled_event_rows,40,Best 2x-cost scheduled events
phase332_best_acceptance_grade_cost200_scenario_id,,Best 2x-cost acceptance-grade scenario id
phase332_best_acceptance_grade_cost200_annualized_return_pct,,Best 2x-cost acceptance-grade annualized return
phase332_broadest_scenario_id,P331_DEPTH_ACCEL_REVERSAL_H900_all_nonzero_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_base,Scenario with broadest event support
phase332_broadest_annualized_return_pct,23.837065326027822,Broadest scenario annualized return
phase332_broadest_scheduled_event_rows,50,Broadest scheduled event rows
