family_id,cost_profile,execution_policy,scenario_rows,above12_rows,acceptance_grade_rows,best_annualized_return_pct,best_net_pnl_inr,max_scheduled_event_rows
P331_DEPTH_ACCEL_REVERSAL,zerodha_base,taker_entry_taker_exit,8640,162,0,30.5361528844332,20266.922373727717,50
P331_DEPTH_ACCEL_REVERSAL,zerodha_plus_1bp_slippage,taker_entry_taker_exit,8640,88,0,25.485815473326046,16358.005308731455,50
P331_MICROPRICE_DEPTH_CONFIRM,zerodha_base,taker_entry_taker_exit,8640,156,0,21.905330928328958,12236.150606655236,50
P331_DEPTH_ACCEL_REVERSAL,zerodha_plus_2bp_slippage,taker_entry_taker_exit,8640,48,0,20.435478062218877,12449.08824373519,50
P331_MICROPRICE_DEPTH_CONFIRM,zerodha_plus_1bp_slippage,taker_entry_taker_exit,8640,64,0,18.02556299654034,8941.251486379137,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,zerodha_base,taker_entry_taker_exit,8640,14,0,14.44108488187844,12986.442897536304,50
P331_MICROPRICE_DEPTH_CONFIRM,zerodha_plus_2bp_slippage,taker_entry_taker_exit,8640,32,0,14.145795064751722,7016.763424976052,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,zerodha_base,taker_entry_taker_exit,8640,0,0,11.95482466937067,8830.537937136485,50
P331_DEPTH_ACCEL_REVERSAL,zerodha_2x_all_in_cost_proxy,taker_entry_taker_exit,8640,0,0,11.517554062957867,5144.041163828731,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,zerodha_base,taker_entry_taker_exit,8640,0,0,10.878782973694765,1726.7909482055184,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,zerodha_plus_1bp_slippage,taker_entry_taker_exit,8640,0,0,10.420643703602414,9799.656041297141,50
P331_DEPTH_ACCEL_CONTINUATION,zerodha_base,taker_entry_taker_exit,8640,0,0,9.752279290436976,1470.581797764306,50
P331_MICROPRICE_DEPTH_CONFIRM,zerodha_base,passive_aware_directional_with_penalties,8640,0,0,7.220955903503546,3581.823364833108,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,zerodha_plus_1bp_slippage,taker_entry_taker_exit,8640,0,0,6.908179212692536,4862.7441414840105,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,zerodha_plus_2bp_slippage,taker_entry_taker_exit,8640,0,0,6.801808304631057,6612.869185057971,50
P331_MICROPRICE_DEPTH_CONFIRM,zerodha_2x_all_in_cost_proxy,taker_entry_taker_exit,8640,0,0,5.900157735764103,2926.6655435337816,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,zerodha_plus_1bp_slippage,taker_entry_taker_exit,8640,0,0,5.827536933713295,925.0058624941739,50
P331_MICROPRICE_DEPTH_CONFIRM,zerodha_plus_1bp_slippage,passive_aware_directional_with_penalties,8640,0,0,4.8442965590488605,2402.9248804805857,50
P331_DEPTH_ACCEL_CONTINUATION,zerodha_plus_1bp_slippage,taker_entry_taker_exit,8640,0,0,4.700787184592328,708.8488611686844,50
