family_id,horizon_seconds,threshold_policy,cost_profile,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,side_policy,execution_policy,event_bucket_policy,scheduled_event_rows,symbol_rows,observed_trade_dates,trade_rows,avg_fill_probability,gross_pnl_inr,cost_inr,passive_penalty_inr,net_pnl_inr,portfolio_return_pct,annualized_return_pct,above12_annualized,robust_event_floor_met,acceptance_grade_candidate,profitability_claim_allowed,scenario_id
P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,zerodha_base,100000.0,100000.0,1,long_only,taker_entry_taker_exit,all_events,40,6,40,40,1.0,8154.870174036816,3307.86177968234,0.0,4847.008394354476,4.847008394354476,30.5361528844332,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,zerodha_base,100000.0,100000.0,2,long_only,taker_entry_taker_exit,all_events,40,6,40,40,1.0,8154.870174036816,3307.86177968234,0.0,4847.008394354476,4.847008394354476,30.5361528844332,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,zerodha_base,100000.0,100000.0,4,long_only,taker_entry_taker_exit,all_events,40,6,40,40,1.0,8154.870174036816,3307.86177968234,0.0,4847.008394354476,4.847008394354476,30.5361528844332,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,zerodha_base,100000.0,100000.0,1,long_only,taker_entry_taker_exit,macro_or_index_context,40,6,40,40,1.0,8154.870174036816,3307.86177968234,0.0,4847.008394354476,4.847008394354476,30.5361528844332,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,zerodha_base,100000.0,100000.0,2,long_only,taker_entry_taker_exit,macro_or_index_context,40,6,40,40,1.0,8154.870174036816,3307.86177968234,0.0,4847.008394354476,4.847008394354476,30.5361528844332,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,zerodha_base,100000.0,100000.0,4,long_only,taker_entry_taker_exit,macro_or_index_context,40,6,40,40,1.0,8154.870174036816,3307.86177968234,0.0,4847.008394354476,4.847008394354476,30.5361528844332,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,zerodha_base,100000.0,50000.0,2,long_only,taker_entry_taker_exit,all_events,48,13,48,90,1.0,10014.625905391309,4834.441416361235,0.0,5180.1844890300745,5.180184489030074,27.19596856740789,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC2_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,zerodha_base,100000.0,50000.0,4,long_only,taker_entry_taker_exit,all_events,48,13,48,90,1.0,10014.625905391309,4834.441416361235,0.0,5180.1844890300745,5.180184489030074,27.19596856740789,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC4_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,zerodha_base,100000.0,50000.0,2,long_only,taker_entry_taker_exit,macro_or_index_context,48,13,48,90,1.0,10014.625905391309,4834.441416361235,0.0,5180.1844890300745,5.180184489030074,27.19596856740789,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC2_zerodha_base
P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,zerodha_base,100000.0,50000.0,4,long_only,taker_entry_taker_exit,macro_or_index_context,48,13,48,90,1.0,10014.625905391309,4834.441416361235,0.0,5180.1844890300745,5.180184489030074,27.19596856740789,1,1,0,0,P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT50000_CONC4_zerodha_base
