canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,decision_delay_seconds,horizon_seconds,status,start_ms,start_tick_ms,decision_ms,exit_ms,forced_exit,start_mid,decision_mid,exit_mid,impulse_bps,impulse_side_sign,start_top5_qty,decision_top5_qty,replenishment_ratio,decision_top5_qty_imbalance,decision_l2_l5_qty_imbalance,decision_top5_order_imbalance,entry_long_price,exit_long_price,entry_short_price,exit_short_price
P373_2026-07-08_CIPLA_106690396,existing_phase341,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,120,900.0,ready,1783498032000.0,1783498032499.0,1783498152808.0,1783499053498.0,0.0,1445.8,1446.6999999999998,1437.0,6.224927375846339,1.0,401.0,557.0,0.38902743142144636,0.1813285457809695,0.19101123595505617,-0.058823529411764705,1446.8,1436.7,1446.6,1437.3
P373_2026-07-08_LT_106690276,existing_phase341,LT,08-Jul-2026 12:29:03,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,120,900.0,ready,1783493943000.0,1783496075001.0,1783496195024.0,1783497095393.0,0.0,3977.3,3978.45,3970.85,2.891408744624836,1.0,790.0,373.0,-0.5278481012658228,0.28150134048257375,0.28957528957528955,-0.2857142857142857,3978.5,3970.5,3978.4,3971.2
P373_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,120,900.0,ready,1783504529000.0,1783504532045.0,1783504654585.0,1783504799991.0,1.0,1017.95,1018.8499999999999,1019.25,8.841298688539354,1.0,9632.0,12856.0,0.3347176079734219,0.16303671437461106,0.2959317585301837,0.1388888888888889,1018.9,1018.6,1018.8,1019.9
P373_2026-07-09_BHARTIARTL_106691845,existing_phase341,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,120,900.0,ready,1783584521000.0,1783584521479.0,1783584643989.0,1783585545928.0,0.0,1931.3,1929.85,1935.5,-7.507896235696399,-1.0,737.0,1666.0,1.2605156037991858,-0.23769507803121248,-0.3355048859934853,-0.2777777777777778,1929.9,1935.3,1929.8,1935.7
P373_2026-07-09_DRREDDY_106691390,existing_phase341,DRREDDY,09-Jul-2026 09:18:50,regular_session,2026-07-09,first_real_tick_after_announcement,General Updates,120,900.0,ready,1783568930000.0,1783578354989.0,1783578475240.0,1783579375486.0,0.0,1269.25,1272.1,1274.6,22.45420523931384,1.0,1151.0,1049.0,-0.08861859252823631,-0.06959008579599618,-0.03761061946902655,0.15384615384615385,1272.3,1274.4,1271.9,1274.8
P373_2026-07-09_DRREDDY_106691463,existing_phase341,DRREDDY,09-Jul-2026 09:38:43,regular_session,2026-07-09,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,120,900.0,ready,1783570123000.0,1783578354989.0,1783578475240.0,1783579375486.0,0.0,1269.25,1272.1,1274.6,22.45420523931384,1.0,1151.0,1049.0,-0.08861859252823631,-0.06959008579599618,-0.03761061946902655,0.15384615384615385,1272.3,1274.4,1271.9,1274.8
P373_2026-07-09_RELIANCE_106691045,existing_phase341,RELIANCE,08-Jul-2026 19:08:15,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,Other Restructuring,120,900.0,ready,1783568700000.0,1783578354989.0,1783578474989.0,1783579375235.0,0.0,1288.6,1289.1,1290.55,3.880180040353873,1.0,17098.0,6924.0,-0.5950403555971459,0.9061236279607163,0.9123852472217748,0.7142857142857143,1289.2,1290.5,1289.0,1290.6
P373_2026-07-09_SBIN_106691111,existing_phase341,SBIN,08-Jul-2026 20:27:40,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,General Updates,120,900.0,ready,1783568700000.0,1783578354989.0,1783578474989.0,1783579375235.0,0.0,1025.85,1026.1,1025.0,2.437003460544914,1.0,8706.0,5164.0,-0.40684585343441304,0.4632068164213788,0.4473684210526316,0.42168674698795183,1026.2,1024.9,1026.0,1025.1
P373_2026-07-09_SBIN_106691289,existing_phase341,SBIN,08-Jul-2026 23:59:50,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,General Updates,120,900.0,ready,1783568700000.0,1783578354989.0,1783578474989.0,1783579375235.0,0.0,1025.85,1026.1,1025.0,2.437003460544914,1.0,8706.0,5164.0,-0.40684585343441304,0.4632068164213788,0.4473684210526316,0.42168674698795183,1026.2,1024.9,1026.0,1025.1
P373_2026-07-10_ADANIPORTS_106692702,existing_phase341,ADANIPORTS,09-Jul-2026 21:51:40,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Updates,120,900.0,ready,1783655100000.0,1783655104834.0,1783655228901.0,1783656129411.0,0.0,1801.15,1813.8000000000002,1815.8,70.23290675401877,1.0,925.0,395.0,-0.572972972972973,-0.4582278481012658,-0.3872053872053872,-0.1111111111111111,1814.2,1815.6,1813.4,1816.0
