trade_date,symbol,parquet_files,bytes
2026-07-08,ADANIPORTS,641,22399798
2026-07-08,AXISBANK,641,22940648
2026-07-08,BAJAJ-AUTO,641,22287850
2026-07-08,BANKBEES,641,22610326
2026-07-08,BHARTIARTL,640,22431492
2026-07-08,BPCL,640,22142836
2026-07-08,BRITANNIA,641,22100628
2026-07-08,CIPLA,640,22175632
2026-07-08,DRREDDY,641,22216074
2026-07-08,GOLDBEES,641,22425356
2026-07-08,HCLTECH,641,22176067
2026-07-08,HDFCBANK,641,23194299
2026-07-08,HINDUNILVR,641,22359521
2026-07-08,ICICIBANK,641,22984610
2026-07-08,INFY,641,22736564
2026-07-08,ITBEES,641,22089190
2026-07-08,ITC,641,22455233
2026-07-08,JUNIORBEES,641,22568378
2026-07-08,KOTAKBANK,641,22729760
2026-07-08,LT,641,22958116
2026-07-08,M&M,641,22867747
2026-07-08,MARUTI,641,22559567
2026-07-08,NESTLEIND,641,22225982
2026-07-08,NIFTYBEES,641,22644435
2026-07-08,ONGC,641,22493341
2026-07-08,RELIANCE,640,23024087
2026-07-08,SBIN,640,22778539
2026-07-08,SUNPHARMA,641,22318682
2026-07-08,TCS,641,22407965
2026-07-08,TECHM,641,22183936
2026-07-08,ULTRACEMCO,641,22236338
2026-07-08,WIPRO,641,22169452
2026-07-09,ADANIPORTS,893,31192035
2026-07-09,AXISBANK,892,31570078
2026-07-09,BAJAJ-AUTO,892,31020945
2026-07-09,BANKBEES,894,31580460
2026-07-09,BHARTIARTL,892,32238955
2026-07-09,BPCL,893,30924713
2026-07-09,BRITANNIA,892,30916269
2026-07-09,CIPLA,892,30907690
2026-07-09,DRREDDY,892,31896440
2026-07-09,GOLDBEES,893,31244094
2026-07-09,HCLTECH,892,31085265
2026-07-09,HDFCBANK,892,32271288
2026-07-09,HINDUNILVR,892,31470657
2026-07-09,ICICIBANK,892,32126198
2026-07-09,INFY,892,31629099
2026-07-09,ITBEES,894,30876542
2026-07-09,ITC,892,31350471
2026-07-09,JUNIORBEES,894,31522415
2026-07-09,KOTAKBANK,892,31989996
2026-07-09,LT,892,31871986
2026-07-09,M&M,892,31547955
2026-07-09,MARUTI,892,31365200
2026-07-09,NESTLEIND,892,30965113
2026-07-09,NIFTYBEES,894,31464910
2026-07-09,ONGC,892,31134590
2026-07-09,RELIANCE,893,32081703
2026-07-09,SBIN,893,31749737
2026-07-09,SUNPHARMA,892,31516068
2026-07-09,TCS,892,31735785
2026-07-09,TECHM,893,31017941
2026-07-09,ULTRACEMCO,893,30888286
2026-07-09,WIPRO,893,31225283
2026-07-10,ADANIPORTS,1579,55060838
2026-07-10,AXISBANK,1579,55290497
2026-07-10,BAJAJ-AUTO,1579,55000795
2026-07-10,BANKBEES,1577,54695905
2026-07-10,BHARTIARTL,1578,55406003
2026-07-10,BPCL,1579,54466671
2026-07-10,BRITANNIA,1579,54448444
2026-07-10,CIPLA,1579,54661231
2026-07-10,DRREDDY,1578,55865869
2026-07-10,GOLDBEES,1578,54830631
2026-07-10,HCLTECH,1578,55728587
2026-07-10,HDFCBANK,1578,56202239
2026-07-10,HINDUNILVR,1579,54889846
2026-07-10,ICICIBANK,1578,55362428
2026-07-10,INFY,1578,56296176
2026-07-10,ITBEES,1578,54423682
2026-07-10,ITC,1578,55156328
2026-07-10,JUNIORBEES,1577,55346302
2026-07-10,KOTAKBANK,1579,55151161
2026-07-10,LT,1579,55048495
2026-07-10,M&M,1579,54957791
2026-07-10,MARUTI,1578,55123276
2026-07-10,NESTLEIND,1579,54795765
2026-07-10,NIFTYBEES,1578,55038444
2026-07-10,ONGC,1579,54887145
2026-07-10,RELIANCE,1578,55359833
